"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Z., Wang, Zijian; R., Sacks, Rafael","Wang, Zijian (57213171722); Sacks, Rafael (7102941790)","57213171722; 7102941790","Building Information Graphs (BIGs): remodeling building information for learning and applications","2025","Data-Centric Engineering","6","","e44","","","0","0","10.1017/dce.2025.10024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105016085372&doi=10.1017%2Fdce.2025.10024&partnerID=40&md5=348caa704f09e9b38887737c490e4e1c","Despite significant advances in Building Information Modeling (BIM) and increased adoption, numerous challenges remain. Discipline-specific BIM software tools with file storage have unresolved interoperability issues and do not capture or express interdisciplinary design intent. This hobbles machines’ ability to process design information. The lack of suitable data representation hinders the application of machine learning and other data-centric applications in building design. We propose Building Information Graphs (BIGs) as an alternative modeling method. In BIGs, discipline-specific design models are compiled as subgraphs in which nodes and edges model objects and their relationships. Additional nodes and edges in a meta-graph link the building objects across subgraphs. Capturing both intradisciplinary and interdisciplinary relationships, BIGs provide a dimension of contextual data for capturing design intent and constraints. BIGs are designed for computation and applications. The explicit relationships enable advanced graph functionalities, such as across-domain change propagation and object-level version control. BIGs preserve multimodal design data (geometry, attributes, and topology) in a graph structure that can be embedded into high-dimensional vectors, in which learning algorithms can detect statistical patterns and support a wide range of downstream tasks, such as link prediction and graph generation. In this position article, we highlight three key challenges: encapsulating and formalizing object relationships, particularly design intent and constraints; designing graph learning techniques; and developing innovative domain applications that leverage graph structures and learning. BIGs represent a paradigm shift in design technologies that bridge artificial intelligence and building design to enable intelligent and generative design tools for architects, engineers, and contractors. © 2025 Elsevier B.V., All rights reserved.","Artificial Intelligence; Building Design; Building Information Modeling; Graph Learning; Machine Learning; Bridges; Building Information Model; Computer Aided Software Engineering; Computer Software; Graph Algorithms; Graph Structures; Graphic Methods; Intelligent Buildings; Interoperability; Learning Algorithms; Learning Systems; Machine Learning; Software Design; Structural Design; Building Design; Building Information Modelling; Design Constraints; Design Intent; Graph Learning; In-buildings; Machine-learning; Modeling Softwares; Subgraphs; Architectural Design","Bridges; Building Information Model; Computer aided software engineering; Computer software; Graph algorithms; Graph structures; Graphic methods; Intelligent buildings; Interoperability; Learning algorithms; Learning systems; Machine learning; Software design; Structural design; Building design; Building Information Modelling; Design constraints; Design intent; Graph learning; In-buildings; Machine-learning; Modeling softwares; Subgraphs; Architectural design","Article","Final","","Scopus","2-s2.0-105016085372"
"T., Köring, Timo; D., Gerhard, Detlef; M., Neges, Matthias","Köring, Timo (58161012700); Gerhard, Detlef (7004060117); Neges, Matthias (14010542100)","58161012700; 7004060117; 14010542100","A Procedure Model for Systematic Application of Generative Engineering and Design Software Tools","2025","IFIP Advances in Information and Communication Technology","740 IFIPAICT","","","43","57","0","0","10.1007/978-3-031-93319-6_4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011074947&doi=10.1007%2F978-3-031-93319-6_4&partnerID=40&md5=da809abdf47dadf5e225149c0a121644","The latest developments in AI and advanced algorithms for Generative Engineering and Design have led to wide landscape of different approaches and new software tools. These tools differ in their systematics and areas of applications as well as opportunities for establishing new processes and methodologies in engineering design. The consideration and integration of driving technologies for applications such as topology optimization, design space exploration and design automation are incorporated in different ways. Therefore, a clear structure and procedural model is necessary to provide a methodological guideline with respect to potentials and limitations for engineering tasks. Building on previous work and based on an analysis of existing software tools, the consideration of use case requirements, general principles, and technology trends, this paper extends an approach to structure and compare different tools especially for (mechanical) engineering applications. For each stage inside the design process, specific user needs, features and software characteristics are described. The focus is on how and which interactions between users and software are necessary and which functionalities and tasks the software must provide. The analysis is not limited to existing approaches. Future developments streams in the field are considered. The findings are validated using two commercial software applications. © 2025 Elsevier B.V., All rights reserved.","Computational Design Synthesis; Generative Engineering; Procedural Model; Software-based Generative Design; Computer Aided Design; Computer Aided Software Engineering; Industrial Management; Software Design; Structural Design; Topology; Computational Design Synthesis; Design Softwares; Engineering Software; Generative Design; Generative Engineering; Latest Development; Procedural Models; Procedure Modeling; Software-based Generative Design; Software-tools; Application Programs","Computer aided design; Computer aided software engineering; Industrial management; Software design; Structural design; Topology; Computational design synthesis; Design softwares; Engineering software; Generative design; Generative engineering; Latest development; Procedural models; Procedure modeling; Software-based generative design; Software-tools; Application programs","Conference paper","Final","","Scopus","2-s2.0-105011074947"
"T.G., Aygumov, Timur Gadzhievich; U.U., Abdulkadyrov, Umalt Umarovich; F., Abdulmukminova, Fatima","Aygumov, Timur Gadzhievich (57202806951); Abdulkadyrov, Umalt Umarovich (57805084600); Abdulmukminova, Fatima (59212243000)","57202806951; 57805084600; 59212243000","The use of artificial intelligence in engineering tools","2024","BIO Web of Conferences","145","","03023","","","0","0","10.1051/bioconf/202414503023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85216638814&doi=10.1051%2Fbioconf%2F202414503023&partnerID=40&md5=a647fb4085e05295d80042156932e0d6","The following work aims to illustrate that the artificial intelligence has penetrated not only into major fields like manufacture, agriculture, entertainment, but also well coexist with the engineering software. Engineering fields are no exception when integrating the technology into its processes. The embedment of artificial intelligence in the processes allows increase in productivity and possibilities for innovative approaches and for new breakthroughs. This work will look into the artificial intelligence and its use in engineering fields. Focusing the view on the implementation of the technology in the analytical tools. The latest increase of the capabilities of such software is directly related to the improvement in the field of algorithm. Henceforth, this work will dive into the new features and capabilities this technology presents. The work will cover the areas in engineering tools which are enhanced with artificial intelligence. The following areas will be covered: generative design, multi-objective optimisation and personalisation of the using tool to meet the consumers' needs in the most responsible ways. © 2025 Elsevier B.V., All rights reserved.","","","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85216638814"
"A.A., Adediran, Adeolu Adesoji; J.B., Ajewole, Joshua B.; E.S.A., Ajisegiri, Emmanuel Sunday Akin","Adediran, Adeolu Adesoji (56942524900); Ajewole, Joshua B. (58308704800); Ajisegiri, Emmanuel Sunday Akin (6506177440)","56942524900; 58308704800; 6506177440","Engineering Transformation: From Computer Aided Design to the Cloud","2024","","","","","","","0","1","10.1109/SEB4SDG60871.2024.10630082","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202961252&doi=10.1109%2FSEB4SDG60871.2024.10630082&partnerID=40&md5=1204e5e2226118ef008168771b38307d","This paper delves into the transformative impact of digital evolution on engineering, spotlighting data-driven practices and collaboration. Engineers utilize simulation software, IoT, and digital tools for efficient design processes, reduced time-to-market, and enhanced sustainability. The shift from traditional computer aided design (CAD) to cloud-based solutions is examined, emphasizing global accessibility and cost-effectiveness. It highlights the accelerated innovation cycle and the pivotal role of cloud-based CAD in fostering collaborative and efficient design. Traces CAD software evolution, integrating Cloud Computing, Generative Design, VR/AR, Simulation, and IoT for enhanced collaboration and efficiency. Virtual whiteboards facilitate real-time feedback. In the evolving engineering landscape, digital tools play a vital role, overcoming geographical constraints, with features like instant messaging, video conferencing, and efficient document management. CAD integration with cloud services revolutionizes design processes, incorporating machine learning, virtual reality, IoT, generative design, and simulation. Challenges in data storage and security require robust measures. General Electric (GE) strategically leverages cloud computing for growth, emphasizing operational efficiency, customer experience, and scalable solutions. Integration of AR, VR, and AI enhances digital transformation, with challenges in connectivity and security. Digital Engineering (DE) reshapes practices, focusing on data-driven ecosystems and fostering innovation. The surge in digital tools transforms collaborative engineering, enhancing workflows, efficiency, and teamwork. The CAD and CAM sectors witness a rising trend in adopting cloud-based Software-as-a-Service (SaaS). Organizations embracing digital transformation reap benefits, including improved security, collaboration, speed, innovation velocity, and accessibility. Despite a promising future, widespread adoption of online CAD faces challenges due to unreliable internet connectivity. © 2024 Elsevier B.V., All rights reserved.","Cloud Computing; Computer Aided Design; Engineering; Internet Of Things; Cloud Platforms; Computer Aided Software Engineering; Ferroelectric Ram; Instant Messaging Applications; Software Design; Cloud-based; Cloud-computing; Computer-aided Design; Data Driven; Design-process; Digital Evolution; Digital Tools; Digital Transformation; Efficient Designs; Generative Design; Software As A Service (saas)","Cloud platforms; Computer aided software engineering; Ferroelectric RAM; Instant messaging applications; Software design; Cloud-based; Cloud-computing; Computer-aided design; Data driven; Design-process; Digital evolution; Digital tools; Digital transformation; Efficient designs; Generative design; Software as a service (SaaS)","Conference paper","Final","","Scopus","2-s2.0-85202961252"
"A.A., Adediran, Adeolu Adesoji; T.J., Erinle, Tunji J.; J.B., Ajewole, Joshua B.; S.J., Aliyu, Samuel Jacob","Adediran, Adeolu Adesoji (56942524900); Erinle, Tunji J. (57214232158); Ajewole, Joshua B. (58308704800); Aliyu, Samuel Jacob (57209586170)","56942524900; 57214232158; 58308704800; 57209586170","Revolutionizing Mechanical Engineering: CAD'S Evolution, Cloud Impact And Future Trends","2024","","","","","","","0","1","10.1109/SEB4SDG60871.2024.10630090","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202915410&doi=10.1109%2FSEB4SDG60871.2024.10630090&partnerID=40&md5=9563f1c27304cf6fcf8ac413f175e718","The paper investigates the paradigm shift in engineering through the lens of Computer-Aided Design (CAD), tracing its evolution from Ivan Sutherland's visionary insights to contemporary cloud-based infrastructures. Emphasizing CAD's pivotal role, it details advantages such as streamlined design, enhanced precision, collaborative work, and mistake elimination. Exploring CAD system components, it underscores the transition from 2D to 3D modeling, showcasing its transformative impact on visualization, analysis, and efficiency in modern engineering. This paper explores the transformative journey of CAD technology, from its inception with pioneers like Ivan Sutherland to contemporary applications in 3D modeling and simulation. It highlights CAD's role in revolutionizing engineering practices, overcoming challenges, and its evolution from manual drafting to digital drawing. The emergence of cloud-based solutions is examined, showcasing their impact on collaboration, innovation, and industry trends. The document further delves into the diverse meanings of CAD across disciplines, the significance of early decision-making, and the current trends in cloud-based CAD, including AI-powered tools and additive manufacturing. This comprehensive exploration of CAD's evolution and impact in mechanical design emphasizes the transformative influence of cloud-based tools. It discusses the benefits of cloud-based engineering, including real-time collaboration and enhanced data security. The integration of engineering tools with CAD software is highlighted, with a focus on the advantages it brings to design iteration and optimization. Challenges in cloud-based engineering are addressed, and case studies demonstrate successful adoption. The paper concludes by forecasting future trends, including parametric design, generative design, VR integration, and the integration of artificial intelligence in CAD for mechanical engineering. © 2024 Elsevier B.V., All rights reserved.","Behavioral Research; Computer Aided Logic Design; Computer Aided Software Engineering; Drafting Practice; Error Correction; 3d Models; 3d-modeling; Cloud Impacts; Cloud-based; Collaborative Work; Computer-aided Design; Future Trends; Mechanical; Paradigm Shifts; Through The Lens; Machine Design","Behavioral research; Computer aided logic design; Computer aided software engineering; Drafting practice; Error correction; 3D models; 3d-modeling; Cloud impacts; Cloud-based; Collaborative Work; Computer-aided design; Future trends; Mechanical; Paradigm shifts; Through the lens; Machine design","Conference paper","Final","","Scopus","2-s2.0-85202915410"
"E.A., Silva, Edmar A.; R., Marsh, Robert; H.K., Yong, Hau Kit; A., Sóbester, András","Silva, Edmar A. (59141875600); Marsh, Robert (23966960500); Yong, Hau Kit (57204015197); Sóbester, András (9243720200)","59141875600; 23966960500; 57204015197; 9243720200","A Model Based Systems Engineering Framework based on a Visual Programming Paradigm","2024","","","","","","","0","1","10.2514/6.2024-1529","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194075789&doi=10.2514%2F6.2024-1529&partnerID=40&md5=3456d447fb4e2ad20f2e3864f7b389f6","The paper proposes a visual programming-based methodology for achieving highly flexible geometry modeling, encompassing variations in topology. This approach is designed to cater to the conceptual and preliminary design stages of airframes and their associated systems. This requires a new framework for real time modelling, analysis, testing and continuous integration, which we propose here, using principles from software engineering and a tightly integrated, novel mechanism for geometry-centric design rationale capture, share, and re-use. We show that the visual programming basis of the proposed design philosophy facilitates more organic coupling between rationale, company knowledge bases and the geometry itself (as well as the programmatic recipe that generates it) than more traditional parametric Computer Aided Design (CAD) approaches. In particular, we put forward this framework as a means of enabling large departures from the technological status quo, such as the looming transition to sustainable propulsion systems. We demonstrate some key aspects of the proposed framework through the solution of a well-known structural design problem: a generative-design case study of a motor mount based on a set of complex orthogonal planar lattices. Within the framework, we present the design process of the mounting structure, starting at the levels where the fundamental topology of the structure is defined, through the organic integration of analysis results into the definition of the preliminary design level geometry, to high level trade study capabilities. We also demonstrate how the code and, by implication, the geometry are automatically tested, the proposed framework lending itself to continuous integration, supported also by a knowledge base comprising requirements, rationale entries, and a log of design decisions. © 2024 Elsevier B.V., All rights reserved.","Computer Aided Design; Computer Programming; Integration; Integration Testing; Knowledge Based Systems; Structural Design; Topology; Continuous Integrations; Design Stage; Engineering Frameworks; Geometry Model; Model-based System Engineerings; Models Integration; Preliminary Design; Programming Paradigms; Real Time Modeling; Visual Programming; Geometry","Computer aided design; Computer programming; Integration; Integration testing; Knowledge based systems; Structural design; Topology; Continuous integrations; Design stage; Engineering frameworks; Geometry model; Model-based system engineerings; Models integration; Preliminary design; Programming paradigms; Real time modeling; Visual programming; Geometry","Conference paper","Final","","Scopus","2-s2.0-85194075789"
"G., Kimm, Geoff; M.R., White, Marcus R.; M.C., Burry, Mark Cameron","Kimm, Geoff (56038740600); White, Marcus R. (57188790063); Burry, Mark Cameron (6603191736)","56038740600; 57188790063; 6603191736","EXTENDING VISUOSPATIAL ANALYSIS IN DESIGN COMPUTING: An Exploration with a Novel GPU-Based Algorithm and Form-Based Codes","2023","Proceedings of the International Conference on Computer-Aided Architectural Design Research in Asia","1","","","655","664","0","1","10.52842/conf.caadria.2023.1.655","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196754959&doi=10.52842%2Fconf.caadria.2023.1.655&partnerID=40&md5=8fdade92758ca702a6d41d1748968889","This paper responds to a gap observed between the contemporary capacity for calculation and analysis of visibility of built environment features, such as buildings, in digital urban and architectural computational research models and the functionality of off-the-shelf software tools available to professionals. The research investigates the potential of visibility analysis to be embedded and extended within computational-based workflows of software tools to better meet urban design and planning industry needs. We introduce a novel method for visibility calculation that exposes output data for further analysis within a computational workflow and implement it in a game development engine used by software tool providers. Based in our engagement with a local government authority, we then use that method to demonstrate a workflow in the context of form-based building codes in which the visual impact of a building is considered rather than prescriptive limits on dimensions and use. Our results indicate the novel method has substantial performance improvements compared to an alternative mode of visibility calculation and that software providers could more thoroughly integrate and extend visibility analysis to meet industry needs. © 2024 Elsevier B.V., All rights reserved.","Design Computing; Form-based Building Codes; Generative Design; Genetic Algorithm; Gpu Shader; Isovists; Unity 3d; Viewsheds; Architectural Design; Codes (symbols); Computer Aided Software Engineering; Computer Software; Genetic Algorithms; Software Design; Visibility; Design Computing; Form-based Building Code; Generative Design; Gpu Shader; Isovists; Software-tools; Unity 3d; Viewshed; Visibility Analysis; Work-flows; Graphics Processing Unit","Architectural design; Codes (symbols); Computer aided software engineering; Computer software; Genetic algorithms; Software design; Visibility; Design computing; Form-based building code; Generative design; GPU shader; Isovists; Software-tools; Unity 3d; Viewshed; Visibility analysis; Work-flows; Graphics processing unit","Conference paper","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85196754959"
"D., Gerhard, Detlef; T., Köring, Timo; M., Neges, Matthias","Gerhard, Detlef (7004060117); Köring, Timo (58161012700); Neges, Matthias (14010542100)","7004060117; 58161012700; 14010542100","Generative Engineering and Design – A Comparison of Different Approaches to Utilize Artificial Intelligence in CAD Software Tools","2023","IFIP Advances in Information and Communication Technology","667 IFIP","","","206","215","0","12","10.1007/978-3-031-25182-5_21","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151065240&doi=10.1007%2F978-3-031-25182-5_21&partnerID=40&md5=5971928391e3353643a9c293b1a37e0e","There are new CAD software tools emerging that will likely pave the way to next generation engineering design. They are labelled Generative Engineering, Generative Design, Algorithm Based Design, Simulation Based Design or similar. Those new tools have in common that they make intensive use of Artificial Intelligence methods and extensive computing power. The focus of these algorithm-driven approaches to developing products and finding solutions is not the explicit creation of geometry but rather the definition of constraints, boundary conditions, rules and procedures that allow the computation of feasible solutions including the implicit generation of geometric models. One major idea is to initially open up wide solution spaces that are goal-oriented based on given requirements and provide engineers with all relevant information to perform trade-off studies and create new and innovative solutions instead of perpetuating existing solutions. The new tools are often associated with topology optimization and generative manufacturing, but the concepts go far beyond and lead to a complete workflow in the creation of products. The paper systematically analyses different software tools and shows that Generative Design and Engineering is interpreted and implemented differently by various software vendors, all pursuing different goals. In addition to the potentials, the paper mainly shows the current limitations of the implemented approaches in the different CAD tools. The focus is not only on the design phase, but also on how the tools take into account different aspects such as the automation of the entire development process, cost evaluation and manufacturing processes. © 2023 Elsevier B.V., All rights reserved.","Artificial Intelligence; Generative Design; Generative Engineering; Topology Optimization; Artificial Intelligence; Computer Aided Design; Computer Software; Computing Power; Economic And Social Effects; Topology; Algorithm-based Designs; Artificial Intelligence Methods; Cad Softwares; Design Simulations; Engineering Design; Generative Design; Generative Engineering; Simulation-based Designs; Software-tools; Topology Optimisation; Computer Aided Software Engineering","Artificial intelligence; Computer aided design; Computer software; Computing power; Economic and social effects; Topology; Algorithm-based designs; Artificial intelligence methods; CAD softwares; Design simulations; Engineering design; Generative design; Generative engineering; Simulation-based designs; Software-tools; Topology optimisation; Computer aided software engineering","Conference paper","Final","","Scopus","2-s2.0-85151065240"
"F., Buonamici, Francesco; M., Carfagni, Monica; R., Furferi, Rocco; Y., Volpe, Yary; L., Governi, Lapo","Buonamici, Francesco (56938694700); Carfagni, Monica (6603809389); Furferi, Rocco (55916724200); Volpe, Yary (35197291900); Governi, Lapo (6508036265)","56938694700; 6603809389; 55916724200; 35197291900; 6508036265","Generative design: An explorative study","2020","Computer-Aided Design and Applications","18","1","","144","155","0","111","10.14733/cadaps.2021.144-155","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085919754&doi=10.14733%2Fcadaps.2021.144-155&partnerID=40&md5=6c49649ccb85b53b295955983bdb18d4","Generative design tools have recently become an interesting solution to tackle design problems in several technical fields. This article takes into consideration the specific field of mechanical design and aims at describing available generative design solutions capable of dealing with structural optimization problems. The study provides a practical description on the workflow and performances of a specific software system implementing a generative approach for the generation of a set of alternative solutions for a static structural design problem. The software analyzed is Autodesk’s Generative Design, hosted in Fusion 360. The article discusses the functioning of the software and its performances; an enhanced focus on the features oriented to the generation of manufacturable shapes is provided in the text. In order to provide a practical and effective procedure, a literature case study was selected to test the software. © 2020 Elsevier B.V., All rights reserved.","Biomimetic Design; Cad; Generative Design; Structural Optimization; Topology Optimization; Structural Design; Structural Optimization; Alternative Solutions; Generative Design; Generative Design Tools; Mechanical Design; Software Systems; Structural Design Problems; Structural Optimization Problems; Technical Fields; Software Testing","Structural design; Structural optimization; Alternative solutions; Generative design; Generative design tools; Mechanical design; Software systems; Structural design problems; Structural optimization problems; Technical fields; Software testing","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85085919754"
"Y., Zhang, Yicha; Z., Wang, Zhiping; Y., Zhang, Yancheng; S., Gomes, Samuel; A., Bernard, Alain","Zhang, Yicha (55860518500); Wang, Zhiping (57216826421); Zhang, Yancheng (55545862689); Gomes, Samuel (22978982400); Bernard, Alain (56517572500)","55860518500; 57216826421; 55545862689; 22978982400; 56517572500","Bio-inspired generative design for support structure generation and optimization in Additive Manufacturing (AM)","2020","CIRP Annals","69","1","","117","120","0","86","10.1016/j.cirp.2020.04.091","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084830604&doi=10.1016%2Fj.cirp.2020.04.091&partnerID=40&md5=6651e032b51d40af17c257906cd71ab7","Additive Manufacturing (AM) is widely used to manufacture complex and personalized medical components. However, the generation and manually removing of support structures in the pre- and post-processing stages are still time-consuming and costly. To improve the automation of preparation while reducing support structure volume, post-processing time and cost, this paper proposes a bio-inspired generative design method, integrating parametric L systems, evolutionary optimization and an AM processing simulation model, to generate light-weight, easy-to-remove and heat-diffusion-friendly biomimetic support structures. Dental components are modelled and manufactured for validating the proposed method. The results obtained are compared with that of existing commercial software tools. © 2020 Elsevier B.V., All rights reserved.","Additive Manufacturing; Design Optimization; Support Structure; 3d Printers; Additives; Biomimetic Processes; Computer Aided Software Engineering; Design; Ground Supports; Commercial Software Tools; Evolutionary Optimizations; Generative Design; Generative Design Methods; Parametric L-systems; Post-processing Stages; Processing Simulation; Support Structures; Structural Optimization","3D printers; Additives; Biomimetic processes; Computer aided software engineering; Design; Ground supports; Commercial software tools; Evolutionary optimizations; Generative design; Generative design methods; Parametric L-systems; Post-processing stages; Processing simulation; Support structures; Structural optimization","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85084830604"
