"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"N., Nwasra, Nedal; K., Omar, Khalil; Z.H., Qaisar, Zahid Hussain","Nwasra, Nedal (57189688760); Omar, Khalil (57189660607); Qaisar, Zahid Hussain (37461780600)","57189688760; 57189660607; 37461780600","The Role of AI in Predictive UX Shaping the Future of Metaverse Interactions","2025","","","","","","","0","0","10.1109/ICCIAA65327.2025.11013689","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010028950&doi=10.1109%2FICCIAA65327.2025.11013689&partnerID=40&md5=95f1230229f02ae70ea04b1c9327ce1b","The Metaverse is defined as a collectively shared, persistent, and contextualized virtual space that will drive next-generation digital interaction facilitated by enhanced extended reality (XR) and edge computing. One of the major challenges within this development area is the proper anticipation and fulfillment of user context needs, preferences, and intentions in real-time. This paper proposes the concept of Predictive User Experience through AI for a turn to solve this challenge. With enabled predictive analytics, machine learning, and real-time data processing, the proposed AI-based predictive UX model dynamically adjusts metaverse interface features, content delivery, and modes of interaction to enhance immersion, all while maximizing user satisfaction. In this paper, we discuss AI's potential for explanatory mechanics in predictive UX and how it shapes the future of metaverse interactions. We propose a conceptual framework that describes how data collection, data processing, and adaptive interface design can be integrated within a feedback-driven architecture that seamlessly predicts and adjusts to user requirements. In this paper, we present a research methodology that integrates qualitative and technical approaches-from data modeling and architecture design up to scenario-based assessments-to validate our UX framework's predictiveness. Hence, we proceed with a use case that exemplifies the applicability of AI-based predictive UX systems for ensuring user presence and interaction consistency within a metaverse educational scenario. The discussion synthesizes and finally concludes the most pertinent findings relevant to user engagement and personalization regarding privacy and ethical considerations without compromising how these technologies can be safely and effectively scaled. We conclude our paper with the opinion that XR interactions driven by AI predictive UX mark a milestone in how applications are created, not just for entertainment and gaming but also for enterprise, education, and healthcare. This research proves that predictive UX is liable to become one of the key supporting elements of the Metaverse, guaranteeing even more robust experiences and more human-centered design practices. © 2025 Elsevier B.V., All rights reserved.","Ai; Data Analytics; Extended Reality; Immersive Environments; Machine Learning; Metaverse; Predictive Ux; Computer Architecture; Edge Computing; Human Computer Interaction; Learning Systems; Machine Learning; User Centered Design; User Experience; User Interfaces; Virtual Reality; Data Analytics; Digital Interactions; Extended Reality; Immersive Environment; Machine-learning; Metaverses; Predictive Ux; User Context; Virtual Spaces; Predictive Analytics","Computer architecture; Edge computing; Human computer interaction; Learning systems; Machine learning; User centered design; User experience; User interfaces; Virtual reality; Data analytics; Digital interactions; Extended reality; Immersive environment; Machine-learning; Metaverses; Predictive UX; User context; Virtual spaces; Predictive analytics","Conference paper","Final","","Scopus","2-s2.0-105010028950"
"X., YUAN, Xin; K.K., Ng, Kam K.H.; C.Y., Yiu, Cho Yin; Q., Li, Qinbiao","YUAN, Xin (57218826228); Ng, Kam K.H. (57188646976); Yiu, Cho Yin (57352507200); Li, Qinbiao (57212447149)","57218826228; 57188646976; 57352507200; 57212447149","Optimising Pilot-Aircraft Interaction: A Low-Cost Projection-Enhanced Head-Up Display (PE-HUD) with Neuro-Ergonomic Validation","2025","Communications in Computer and Information Science","2523 CCIS","","","134","143","0","0","10.1007/978-3-031-94153-5_13","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008649731&doi=10.1007%2F978-3-031-94153-5_13&partnerID=40&md5=311ea533ecd18543f7dba7d608c2e9aa","Modern aviation operations demand pilots to process multi-source cockpit instrumentation, creating cognitive fragmentation that degrades situational awareness (SA) and increases mental workload. While conventional head-up displays (HUDs) partially address these challenges, their static symbology and high retrofitting costs limit effectiveness. Augmented Reality (AR) solutions face adoption barriers due to visual conflicts in head-mounted displays and prohibitive waveguide HUD costs. This study proposes a low-cost Projection-Enhanced HUD (PE-HUD) using retroreflective film-screen symbiosis, achieving collimated imagery without complex optics. Neuro-ergonomic validation with functional Near-Infrared Spectroscopy (fNIRS) and eye-tracking were conducted across flight phases with ten cadet pilots under low-visibility simulations. Results demonstrated phase-specific cognitive benefits: PE-HUD significantly enhanced occipital-parietal activation during landing and improved cross-referencing between flight control units and primary displays. Take-off phases showed balanced multi-parameter monitoring, while cruise phases exhibited reduced HUD dependency. Eye-tracking revealed fewer head-down transitions compared to those without HUDs. Critically, pilots’ visual attention patterns varied dynamically across phases, necessitating adaptive interface designs. These findings establish neuro-ergonomic evidence for phase-sensitive HUD optimisation, advancing cost-effective human-machine interface (HMI) design in aviation. Future work will integrate real-time neurofeedback to enable context-aware display adaptation. © 2025 Elsevier B.V., All rights reserved.","Fnirs; Head-up Display; Human-machine Interface; Neuro-ergonomics; Situational Awareness; Visual Scanning Behaviours; Augmented Reality; Cockpits (aircraft); Cost Effectiveness; Ergonomics; Eye Movements; Fighter Aircraft; Flight Control Systems; Flight Simulators; Head-up Displays; Helmet Mounted Displays; Human Computer Interaction; Man Machine Systems; Cost Projections; Functional Near Infrared Spectroscopy; Head-updisplay; Heads-up-display; Human Machine Interface; Low-costs; Neuro-ergonomic; Situational Awareness; Visual Scanning; Visual Scanning Behavior; Near Infrared Spectroscopy","Augmented reality; Cockpits (aircraft); Cost effectiveness; Ergonomics; Eye movements; Fighter aircraft; Flight control systems; Flight simulators; Head-up displays; Helmet mounted displays; Human computer interaction; Man machine systems; Cost projections; Functional near infrared spectroscopy; Head-UpDisplay; Heads-up-display; Human Machine Interface; Low-costs; Neuro-ergonomic; Situational awareness; Visual scanning; Visual scanning behavior; Near infrared spectroscopy","Conference paper","Final","","Scopus","2-s2.0-105008649731"
"P., Yeh, Pochan","Yeh, Pochan (16040978300)","16040978300","Exploring Touchscreen Interface Design for Home Health Management Products: Effects of Button Size and Position on Elderly Users","2025","Perceptual and Motor Skills","","","00315125251345594","","","0","0","10.1177/00315125251345594","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007014890&doi=10.1177%2F00315125251345594&partnerID=40&md5=3f85fcd8b4473ae887122164f5b2642e","The advancement of technology has driven significant changes in user interface design, shifting from traditional button-based interfaces to touch-based graphical user interfaces. As medical knowledge progresses, there is a growing awareness of the importance of self-health monitoring at home. However, due to age-related physiological and cognitive changes, elderly individuals often encounter challenges when operating touchscreen interfaces. This study explores the effects of button size, display position, and color contrast on the usability of touchscreen interfaces for elderly users. A total of 220 subjects, including 110 young people aged 18–35 years and 110 elderly people aged 65 years and above, were recruited for this study. Each subject was required to perform 16 experiments (4 button sizes × 4 display positions). Results indicated that age significantly affected both operation time and error rates, with younger participants exhibiting faster response times and lower error rates. For young adults, button size influenced operation time but not display position or color contrast. In contrast, elderly users performed best with a 16 mm button size and when buttons were positioned at the upper or right side of the display. These findings highlight the importance of designing touchscreen interfaces tailored to the physiological and cognitive limitations of elderly users. Future research should explore adaptive interface designs that dynamically adjust button sizes and layouts to optimize usability across different subjects. © 2025 Elsevier B.V., All rights reserved.","Elderly; Home Health Management; Human Factors; Interface Design; Touchscreen","","Article","aip","","Scopus","2-s2.0-105007014890"
"C., Huang, Chunxi; S., Yan, Song; W., Xie, Weiyin; D., He, Dengbo","Huang, Chunxi (58101696900); Yan, Song (58543583700); Xie, Weiyin (58639259400); He, Dengbo (57209909912)","58101696900; 58543583700; 58639259400; 57209909912","When Do Users Prefer Voice Control Systems in Vehicles? A Survey of Chinese Drivers","2024","Transportation Research Record","2678","11","","359","372","0","2","10.1177/03611981241240771","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190065836&doi=10.1177%2F03611981241240771&partnerID=40&md5=a5d6729cd43ccb568f955e44be245f71","Voice control systems (VCSs) are becoming increasingly common in modern vehicles, but concerns are still expressed by drivers about adopting them in smart cockpits. Previous research on privacy and recognition accuracy may not fully address users’ needs with regard to VCSs. In addition, studies on the safety impacts of different interaction modalities may not reveal drivers’ preference for interaction modalities, given that driver choice may not be solely based on interaction safety. Thus, to better understand and optimize VCSs design, an online survey was conducted in China to investigate drivers’ choices between VCSs and manual interaction. In total, we analyzed 168 drivers’ preferred interaction modality (i.e., either VCSs or manual interaction) in different scenarios defined by passenger presence (i.e., present versus absent), traffic complexity (i.e., low versus high traffic density), roadway type (i.e., urban road versus highway), and task characteristics (i.e., six in-vehicle interaction tasks). Compared with manual interactions, drivers preferred VCSs when driving alone, driving on highways, and driving in complex traffic. Further, drivers preferred VCSs when in-vehicle tasks were more distracting and time-demanding (e.g., compiling a text message). The preference for interaction modalities could also be affected by the characteristics of drivers: those with lower driving frequencies and higher VCSs familiarity and those who perceived higher VCSs usability tended to choose VCSs as an interaction modality for in-vehicle interaction tasks. These findings offer insights for adaptive interface design and future optimization of VCSs. © 2024 Elsevier B.V., All rights reserved.","Bicycles; Distraction; Driver Behavior; General; Human Factors; Human Factors Of Vehicles; Pedestrians; Behavioral Research; Control Systems; Human Engineering; Distraction; Driver's Behavior; General; Human Factor Of Vehicle; Manual Interaction; Pedestrian; Recognition Accuracy; System Interactions; Vehicle Interactions; Voice Control Systems; Vehicles","Behavioral research; Control systems; Human engineering; Distraction; Driver's behavior; General; Human factor of vehicle; Manual interaction; Pedestrian; Recognition accuracy; System interactions; Vehicle interactions; Voice control systems; Vehicles","Article","Final","","Scopus","2-s2.0-85190065836"
"A.P.A.A., Packia, A. Princy Anton Arokia; M.C., Babu, M. C.Girish; A., al-Khalidi, Ayadh; M.M., Abdulhasan, Maki Mahdi; D., Erudiyanathan, Diana; A., Naqvi, Aiman","Packia, A. Princy Anton Arokia (59294457400); Babu, M. C.Girish (57202782909); al-Khalidi, Ayadh (58704428200); Abdulhasan, Maki Mahdi (57705169700); Erudiyanathan, Diana (59295198700); Naqvi, Aiman (58257968900)","59294457400; 57202782909; 58704428200; 57705169700; 59295198700; 58257968900","(NBCI) Natural Brain (Human) and Computer Interaction: Development of User Experience with Computers through Adaptive Interface Method","2024","","","","","1135","1139","0","0","10.1109/ICACITE60783.2024.10617342","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201793970&doi=10.1109%2FICACITE60783.2024.10617342&partnerID=40&md5=482700987f907e7215457b71e5cd6877","In the current digital dispensation, Human-Computer Interaction (HCI) fronts itself as key to the user experiences across all the other technological platforms. Human-Computer Interaction will continue rising to the fore with rapid advancements experienced in technology and demand for seamless interactions between man and machine growing. Adaptive interfaces have been designed to meet the manifold demands and preferences of users, with the sole aim of improving the overall user experience. This paper thus goes further to try and understand the importance of adaptive interfaces within the domain of HCI toward improving user experience. How do adaptive interfaces optimally change their behavior with user inputs, context, and other determining factors to optimize a user's interaction with the system. It synthesizes prior knowledge and extracts main principles and methodologies of adaptive interface design from an extensive literature review. The basic ideas of adaptive interfaces and their roles in HCI are described. The theory could be, in return, a guide for the designers and developers for the efficient use of the adaptive techniques to develop interfaces more in accordance with users. It further explores several adaptive approaches based on advanced context-awareness, user modeling, and machine learning algorithms, and their implication on HCI. It further outlines various case studies and examples in their respective application domains, from web browsing to mobile applications and assistive technology, showing adaptive interfaces in use. © 2024 Elsevier B.V., All rights reserved.","Adaptive Interfaces; Context-awareness; Hci Research; Human-computer Interaction; Machine Learning Algorithms; Seamless Interactions; Technology; User Experience; User Modeling; User Preferences; User Profile; Web Browsers; Adaptive Interface; Computer Interaction; Context- Awareness; Human-computer Interaction Researches; Machine Learning Algorithms; Seamless Interaction; Technology; User Modelling; User's Preferences; Users' Experiences; Adversarial Machine Learning","User profile; Web browsers; Adaptive interface; Computer interaction; Context- awareness; Human-computer interaction researches; Machine learning algorithms; Seamless interaction; Technology; User Modelling; User's preferences; Users' experiences; Adversarial machine learning","Conference paper","Final","","Scopus","2-s2.0-85201793970"
"D., Wei, Dapeng; S., Ge, Shijun; C., Zhang, Chi; Y., Wang, Yuxuan; L., Lin, Long; Y., Zhou, Yi","Wei, Dapeng (59143715000); Ge, Shijun (59224099300); Zhang, Chi (59489427200); Wang, Yuxuan (57695975200); Lin, Long (59224248500); Zhou, Yi (59224848600)","59143715000; 59224099300; 59489427200; 57695975200; 59224248500; 59224848600","Research on Adaptive Interface Warning Information Design for Situational Awareness","2024","Lecture Notes in Computer Science","14726 LNCS","","","279","296","0","1","10.1007/978-3-031-61546-7_18","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198911308&doi=10.1007%2F978-3-031-61546-7_18&partnerID=40&md5=6311df6b1aeeb0ba187eb6761d08f465","This research concentrates on the elderly user group, proposing an innovative dynamic adaptive visualization mechanism within the realm of in-vehicle human-machine interface (HMI). The essence of this mechanism is the real-time analysis of users’ cognitive states, utilizing advanced adaptive algorithms for the intelligent encoding and dynamic adjustment of interface information. This design allows for the flexible variation of interface elements based on the users’ cognitive load and specific task requirements, while also providing real-time feedback on user operations, effectively enhancing the situational awareness (SA) of elderly users. The study not only delves into the technical aspects of this adaptive interface design but also empirically examines its effectiveness in enhancing the situational awareness of the elderly user demographic. The findings indicate that this mechanism significantly improves attention distribution, information processing, and decision-making response capabilities among elderly users during in-vehicle HMI interactions, thereby enhancing their overall driving safety. © 2024 Elsevier B.V., All rights reserved.","Adaptive Interface; Aging-friendly Design; Human-machine Interaction; Situational Awareness; Decision Making; Dynamics; Interface States; Man Machine Systems; User Interfaces; Adaptive Interface; Adaptive Visualization; Aging-friendly Design; Dynamic-adaptive; Elderly Users; Human Machine Interaction; Information Design; Situational Awareness; User Groups; Warning Informations; Adaptive Algorithms","Decision making; Dynamics; Interface states; Man machine systems; User interfaces; Adaptive interface; Adaptive visualization; Aging-friendly design; Dynamic-adaptive; Elderly users; Human machine interaction; Information design; Situational awareness; User groups; Warning informations; Adaptive algorithms","Conference paper","Final","","Scopus","2-s2.0-85198911308"
"Y., Huang, Yutan; T., Kanij, Tanjila; A.K., Madugalla, Anuradha K.; S., Mahajan, Shruti; C., Arora, Chetan; J.C., Grundy, John C.","Huang, Yutan (58816936900); Kanij, Tanjila (24512097000); Madugalla, Anuradha K. (55609181800); Mahajan, Shruti (57220120956); Arora, Chetan (55848706400); Grundy, John C. (7102156137)","58816936900; 24512097000; 55609181800; 57220120956; 55848706400; 7102156137","Unlocking Adaptive User Experience with Generative AI","2024","International Conference on Evaluation of Novel Approaches to Software Engineering, ENASE - Proceedings","","","","760","768","0","2","10.5220/0012741000003687","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85193909022&doi=10.5220%2F0012741000003687&partnerID=40&md5=6db8c80e42189646029abc9ab9545818","Developing user-centred applications that address diverse user needs requires rigorous user research. This is time, effort and cost-consuming. With the recent rise of generative AI techniques based on Large Language Models (LLMs), there is a possibility that these powerful tools can be used to develop adaptive interfaces. This paper presents a novel approach to develop user personas and adaptive interface candidates for a specific domain using ChatGPT. We develop user personas and adaptive interfaces using both ChatGPT and a traditional manual process and compare these outcomes. To obtain data for the personas we collected data from 37 survey participants and 4 interviews in collaboration with a not-for-profit organisation. The comparison of ChatGPT generated content and manual content indicates promising results that encourage using LLMs in the adaptive interfaces design process. © 2024 Elsevier B.V., All rights reserved.","Adaptive Ui/ux; Chatgpt; Generative Ai; Persona; User-centered Designs; Adaptive Interface; Adaptive Ui/ux; Chatgpt; Generative Ai; Language Model; Persona; User Need; User Research; User-centred; Users' Experiences; User Centered Design","Adaptive interface; Adaptive UI/UX; ChatGPT; Generative AI; Language model; Persona; User need; User research; User-centred; Users' experiences; User centered design","Conference paper","Final","All Open Access; Green Final Open Access; Green Open Access","Scopus","2-s2.0-85193909022"
"V., Seenivasagam, Vasaki; Z.A., Abu Bakar, Zainab Abu; N., Zamin, Norshuhani; Y., Yahya, Yazrina","Seenivasagam, Vasaki (23986273700); Abu Bakar, Zainab Abu (6507862938); Zamin, Norshuhani (24734465500); Yahya, Yazrina (23669593600)","23986273700; 6507862938; 24734465500; 23669593600","Theoretical Analysis of Research Methodology to Study Emotions Using Emotion AI Among Malaysian E-Learning Tertiary Students for Prototype of Adaptive Interface","2024","Lecture Notes in Computer Science","14322 LNCS","","","101","108","0","0","10.1007/978-981-99-7339-2_9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175995483&doi=10.1007%2F978-981-99-7339-2_9&partnerID=40&md5=a62955f1a82e3ca6ed16b1e0b37ec09e","The e-learning method has been in use for more than a decade now. The e-learning method was intensely used during covid-19 pandemic giving an option for learning experiences remotely in various locations. Currently, e-learning optionally facilitates for students from various locations to study even in remote areas. Sustaining the e-learning facilities with improvements becomes essential since the world is moving towards IR4.0 where learning can happen from any part of the world using a diversified technology. This analysis is looking at theoretical concepts to analyze the viability to use emotions to study the requirements analysis for Adaptive Interface Design. This analysis is conducted to identify the emotion and to find appropriateness of using emotions AI tool to study the emotions. It is targeted for Malaysian students’ environment. It will be based on current widely used LMS used to identify the methods of analyzing the emotions among Malaysian students of entrepreneurship subject. It is concluded that emotions are an essential feature of User Interface study for further study of influences. Emotions AI can be used with mixed mode method for accuracy. The research will pave the way for Adaptive user interface in e-learning systems. The purpose of Adaptive user interface is to enhance essentially subject-wise and program-wise creativity skills in meeting essential skills of Education 5.0. © 2023 Elsevier B.V., All rights reserved.","Adaptive User Interface; E-learning; Education Technology; Humanity Technology; Ir4.0; Learning Emotions; Malaysian Education 5.0; E-learning; Engineering Education; Learning Systems; User Interfaces; Adaptive User Interface; E - Learning; Education Technology; Humanity Technology; Ir4.0; Learning Emotion; Learning Methods; Malaysian Education; Malaysian Education 5.0; Malaysians; Students","E-learning; Engineering education; Learning systems; User interfaces; Adaptive user interface; E - learning; Education technology; Humanity technology; Ir4.0; Learning emotion; Learning methods; Malaysian education; Malaysian education 5.0; Malaysians; Students","Conference paper","Final","","Scopus","2-s2.0-85175995483"
"H., Bao, Haifeng; W., Fang, Weining; B., Guo, Beiyuan; H., Qiu, Hanzhao","Bao, Haifeng (57194698108); Fang, Weining (7202236854); Guo, Beiyuan (7403276500); Qiu, Hanzhao (57193004697)","57194698108; 7202236854; 7403276500; 57193004697","Adaptive Human–Computer Interface Design for Supervision Task Based on User Attention and System State","2024","International Journal of Human-Computer Interaction","40","8","","2054","2066","0","9","10.1080/10447318.2023.2228070","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164462311&doi=10.1080%2F10447318.2023.2228070&partnerID=40&md5=1ccdfef8938a5722fa58c9c62b7f4028","The rapid development of computer information technology has increased the complexity of the human–computer interface, especially in supervision tasks. It is difficult for users to pay attention to multiple information and make decisions in real-time, which needs higher requirements for the design of a human–computer interface. The research designs a novel adaptive human–computer interface using the Adaptive Interface Design (AID) framework: Combining the real-time user attention and system state as the input layer of AID; Building a hybrid entropy attention allocation model as the decision layer of AID; Adjusting the real-time saliency of the information in the interface as the output layer of AID. The comparative experiments in supervision tasks are conducted to test the performance of the users in the designed adaptive interface and traditional interface. The results show that the designed adaptive human–computer interface can effectively improve the supervisors’ performance and reduce the risk of system failure. © 2024 Elsevier B.V., All rights reserved.","Adaptive Interface Design; Human–computer Interface; Supervision Task; Adaptive Human-computer Interface; Adaptive Interface Designs; Human Computer Interfaces; Interface Designs; Performance; Real- Time; Supervision Task; System State; Task-based; User Attention; Interface States","Adaptive human-computer interface; Adaptive interface designs; Human computer interfaces; Interface designs; Performance; Real- time; Supervision task; System state; Task-based; User attention; Interface states","Article","Final","","Scopus","2-s2.0-85164462311"
"E.A., Lavrov, Evgeniy A.; O.Y., Siryk, Olga Ye; A.A., Volosiuk, Aleksandr A.; A.L., Zolkin, A. L.; N.A., Sedova, Nelly A.","Lavrov, Evgeniy A. (55673092300); Siryk, Olga Ye (57193231739); Volosiuk, Aleksandr A. (57203429788); Zolkin, A. L. (57220045614); Sedova, Nelly A. (56395113900)","55673092300; 57193231739; 57203429788; 57220045614; 56395113900","Sustainability and reliability ensurance models for automated technological systems in chemical industry: systemic ergonomic approach","2021","E3S Web of Conferences","280","","02005","","","0","3","10.1051/e3sconf/202128002005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139414982&doi=10.1051%2Fe3sconf%2F202128002005&partnerID=40&md5=7cb596f4572a5710ee2c33210b51b3df","The paper considers accidents and potential hazards of the world chemical enterprises, and provides statistics of accidents and human casualties. The authors investigate harmful factors affecting the production process and a human-operator, showing the central role of a human in the technological process (both as a source of errors and as an active element that eliminates errors, failures and cyber attacks'consequences). We essentially consider automated technological complex as a Human-Machine-Environment system, thus a human-system approach should be applied. The authors developed a complex of systemic components and morphological models, which describe the human-machine system in the sections required for analysis, to ensure sustainable and reliable design with initial data. The authors also propose a method and information technology for interfaces'ergonomic assessment; the principles for adaptive interfaces design; and mathematical models and information technology to assess safety and timeliness indicators of the chemical production operators'activities. The models are based on the principles of the functional-structural theory by Anatoly Gubinsky, Vladimir Evgrafov, Akiva Asherov, Pavel Chabaneko and others, and on the mathematical apparatus of functional networks. Further, the authors develop an optimization model for decision supporting organizing the human-machine control technology, using the criterion of minimizing losses from unreliability and unsustainability. Both the models and the information technology have undergone extensive testing, including solving the tasks of: choosing the automation level for the control process; distributing functions between operators; control algorithms design; user interface design, design of agent-managers to support the operators'activities. The results can be used as the basis for a decision support system to ensure sustainability and reliability of automated technological systems in chemical industry. © 2022 Elsevier B.V., All rights reserved.","","","Conference paper","Final","All Open Access; Gold Open Access; Green Final Open Access; Green Open Access","Scopus","2-s2.0-85139414982"
