"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"S.F., Moosavian, Seyed Farhan; A., Hajinezhad, Ahmad","Moosavian, Seyed Farhan (59943475600); Hajinezhad, Ahmad (16202326900)","59943475600; 16202326900","AI-assisted multi-objective optimization and performance analysis of a solar-driven hybrid system for power generation, desalination and fuel synthesis","2025","Results in Engineering","28","","107161","","","0","0","10.1016/j.rineng.2025.107161","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015304779&doi=10.1016%2Fj.rineng.2025.107161&partnerID=40&md5=50498cda0aa9bd8506f9580bfdcdf0d0","This study evaluates the performance of a multipurpose, self-sufficient system comprising a heliostat solar farm, a central thermal receiver, supercritical CO₂ Brayton cycles, an organic Rankine cycle (ORC), a reverse osmosis (RO) unit, a PEM electrolyzer, a CO₂ absorption unit, and a methanol synthesis unit. The aim was to achieve sustainable production through the integration of bioproducts while maximizing the technical and economic potential of the design. The system was assessed to be attractive for investment in terms of both performance and cost-effectiveness. Simulation results indicate that the proposed configuration can generate 4.69 MW of power from the supercritical CO₂ Brayton cycle and 383 kW from the ORC, while producing 0.2 m³/h of freshwater, 88 kg/h of CO₂, 14 kg/h of hydrogen, and 63 kg/h of methanol, with an overall exergy efficiency of 52.6 %. In the final stage, an artificial neural network (ANN) was developed using machine learning techniques, and the system was optimized via the Gray Wolf algorithm considering five decision variables across two-, three-, four-, five-, and six-objective modes. The six-objective scenario achieved the best performance, yielding an exergy efficiency of 54.18 %, a total cost rate of 6376 $/h, hydrogen and methanol production rates of 16.87 kg/h and 65.3 kg/h, respectively, and LCOE and LEIOE values of 0.0744 $/kWh and 20.45 Pts/MWh. © 2025 Elsevier B.V., All rights reserved.","Green Methanol; Heliostat Solar Power Plant; Supercritical Carbon Dioxide Brayton Cycle; Sustainable Energy Network; Carbon Dioxide; Cost Effectiveness; Desalination; Exergy; Heliostats (instruments); Hybrid Power; Hybrid Systems; Hydrogen Production; Investments; Learning Algorithms; Learning Systems; Machine Learning; Multiobjective Optimization; Reverse Osmosis; Solar Energy; Solar Power Generation; Supercritical Fluid Extraction; Brayton; Energy Networks; Green Methanol; Heliostat Solar Power Plant; Performance; Power; Supercritical Carbon Dioxide Brayton Cycle; Supercritical Carbondioxides; Sustainable Energy; Sustainable Energy Network; Methanol","Carbon dioxide; Cost effectiveness; Desalination; Exergy; Heliostats (instruments); Hybrid power; Hybrid systems; Hydrogen production; Investments; Learning algorithms; Learning systems; Machine learning; Multiobjective optimization; Reverse osmosis; Solar energy; Solar power generation; Supercritical fluid extraction; Brayton; Energy networks; Green methanol; Heliostat solar power plant; Performance; Power; Supercritical carbon dioxide brayton cycle; Supercritical carbondioxides; Sustainable energy; Sustainable energy network; Methanol","Article","Final","","Scopus","2-s2.0-105015304779"
"X., Song, Xinyue; P., Li, Peng; B., Zhang, Bo; K., Yu, Kaifeng; D., Zhang, Dong; Y., He, Yiliang","Song, Xinyue (60031572400); Li, Peng (58872651900); Zhang, Bo (55619300568); Yu, Kaifeng (57195982908); Zhang, Dong (59778572800); He, Yiliang (58764733100)","60031572400; 58872651900; 55619300568; 57195982908; 59778572800; 58764733100","Realization approaches for constructing energy self-sufficient wastewater treatment plants: a review","2025","Carbon Neutrality","4","1","21","","","0","0","10.1007/s43979-025-00133-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012777275&doi=10.1007%2Fs43979-025-00133-y&partnerID=40&md5=59a5ee722df8271cdeb9cfa0fde4746e","Wastewater treatment plants (WWTPs) are traditionally known as energy-intensive facilities, where substantial energy consumption not only results in higher operational costs but also contributes to significant indirect carbon emissions. These emissions, primarily stemming from energy use, contradict the global agenda of achieving carbon neutrality. This review investigates strategies for transforming WWTPs into energy self-sufficient systems. First, the main sources of energy consumption within WWTPs are identified, along with key influencing factors such as treatment technologies, plant scale, and operational strategies. Based on this foundation, three main pathways toward energy neutrality are systematically examined: (1) energy conservation, (2) energy recovery, and (3) utilization of external renewable energy sources. A comprehensive analysis of emerging energy-saving technologies in wastewater treatment processes is presented, followed by a detailed discussion on the recovery potential of embedded energy in wastewater, including organic energy, thermal energy, and hydraulic energy. Recent advances in energy regeneration technologies and their feasibility of application in WWTPs are also reviewed. Additionally, several case studies of WWTPs that have successfully implemented these strategies are examined to demonstrate the practical effectiveness of transitioning toward energy neutrality. Finally, a roadmap is proposed to achieve energy self-sufficiency in WWTPs, emphasizing a core strategy of “carbon redirection + anaerobic digestion of sludge” for energy recovery, complemented by energy conservation measures and renewable energy utilization. The technical route is supported by practical calculations of potential energy savings. Despite promising progress, further empirical studies are necessary to verify these strategies under varying conditions and to explore optimized approaches for future energy-neutral wastewater management. © 2025 Elsevier B.V., All rights reserved.","Energy Conservation; Energy Neutrality; Energy Recovery; Wwtps; Anaerobic Digestion; Carbon; Energy Utilization; Potential Energy; Recovery; Renewable Energy; Wastewater Treatment; Energy; Energy Neutrality; Energy Recovery; Energy Use; Energy-consumption; Indirect Carbon Emissions; Realization Approaches; Substantial Energy; Waste Water Treatment Plants; Energy Conservation","Anaerobic digestion; Carbon; Energy utilization; Potential energy; Recovery; Renewable energy; Wastewater treatment; Energy; Energy neutrality; Energy recovery; Energy use; Energy-consumption; Indirect carbon emissions; Realization approaches; Substantial energy; Waste water treatment plants; Energy conservation","Review","Final","","Scopus","2-s2.0-105012777275"
"Z., Zhang, Zhenwen; T., Li, Tong; Y., Yuan, Yongjiu; Z., Zhang, Zhi; C., Ling, Chen; X., Yao, Xiaoxue; H., Wang, Hongbo; W.K., Lo, Wai Kin; Q., Xu, Qili; J., Liu, Jun","Zhang, Zhenwen (57218602603); Li, Tong (57254577400); Yuan, Yongjiu (57211231269); Zhang, Zhi (57218168597); Ling, Chen (59047140900); Yao, Xiaoxue (57224968235); Wang, Hongbo (57347186200); Lo, Wai Kin (58894673600); Xu, Qili (59395976500); Liu, Jun (57218181324)","57218602603; 57254577400; 57211231269; 57218168597; 59047140900; 57224968235; 57347186200; 58894673600; 59395976500; 57218181324","A self-sufficient system for fog-to-water conversion and nitrogen fertilizer production to enhance crop growth","2025","Nature Communications","16","1","4926","","","0","0","10.1038/s41467-025-60340-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105006808270&doi=10.1038%2Fs41467-025-60340-0&partnerID=40&md5=78a4d72a0dda4385a72538cf660b4f36","Crops require water and fertilizers to grow. However, the shortage of freshwater limits the regions where plants, especially crops, can be grown, and the misuse of chemical fertilizers imposes a burden on the environment and human health. This study develops a self-sufficient system that can passively capture water and produce plant nutrients from the air through the integration of a fog-to-water converter and a spark-type droplet-based electric generator. The proof-of-concept system, based on large-scale 3D wedged spines, achieves a fog-to-water conversion efficiency of 35% and yields nitrogen fertilizer at a rate of 2.38 mg per hour per liter of water droplets. Scaling this system could boost global wheat production by approximately 1 megaton annually, even if operated for a short period each day. This approach offers a self-reliant and potentially eco-friendly solution for agriculture. © 2025 Elsevier B.V., All rights reserved.","Water; Nitrogen Fertilizer; Water; Fertilizer; Crop Production; Droplet; Fertilizer Application; Fog; Growth Rate; Nitrogen; Water Stress; Wheat; Article; Controlled Study; Crop; Nonhuman; Plant Growth; Plant Nutrient; Proof Of Concept; Agriculture; Article; Fresh Water; Generator; Growth; Human; Spine","nitrogen fertilizer; water; fertilizer; crop production; droplet; fertilizer application; fog; growth rate; nitrogen; water stress; wheat; Article; controlled study; crop; nonhuman; plant growth; plant nutrient; proof of concept; agriculture; article; fresh water; generator; growth; human; spine","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105006808270"
"M., Liao, Meizhe; Z., Zhang, Zongwen; R., Yan, Ruirui; K., Bai, Keyu","Liao, Meizhe (58615045900); Zhang, Zongwen (44861801200); Yan, Ruirui (35263075300); Bai, Keyu (24450082000)","58615045900; 44861801200; 35263075300; 24450082000","Using the socio-ecological production landscapes and seascapes framework to assess the resilience of agroecosystems in three distinct agricultural production systems in China","2025","Environmental and Sustainability Indicators","27","","100814","","","0","1","10.1016/j.indic.2025.100814","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011967462&doi=10.1016%2Fj.indic.2025.100814&partnerID=40&md5=d1f6f8d60135b68de8cc90df3017b3fe","Biological diversity in food and agriculture, and the resilience of agroecosystems and sustainability are vital for food security. However, economic development and urbanization have led to landscape fragmentation, eroding biodiversity and threatening its conservation. This study assessed the resilience of agroecosystems in three distinct communities in the Beijing-Tianjin-Hebei region of China: WangJinzhuang (Shexian County), Yuershan Farm (Fengning County), and Qingguang Village (Tianjin). The assessment applied the Integrated Valuation of Ecosystem Services and Tradeoffs with the Global Biodiversity Model for Policy Support (InVEST-GLOBIO) model to evaluate mean species abundance (MSA) and the Socio-Ecological Production Landscapes and Seascapes (SEPLS) framework to assess the resilience of agroecosystems. Between 1992 and 2022, WangJinzhuang's MSA declined slightly from 0.445 to 0.444, Yuershan Farm saw a larger drop from 0.129 to 0.110, while Qingguang Village improved from 0.037 to 0.051. WangJinzhuang had the highest MSA and resilience score (3.9), followed by Qingguang Village (3.84), while Yuershan Farm had the lowest (3.28). The findings highlight higher the resilience of agroecosystems in WangJinzhuang and Qingguang Villages' self-sufficient systems compared to Yuershan Farm. To promote agrobiodiversity conservation, locally tailored policies and strategies must include: adopting eco-friendly farming; optimizing farming systems for regional planning; enhancing agro-ecotourism, and establishing agrobiodiversity conservation compensation mechanisms. Addressing community-specific challenges, while fostering agroecosystem resilience and sustainable development, highlights the critical interplay between human livelihoods and ecological systems, paving the way for long-term, adaptive management in rural and transitional landscapes. © 2025 Elsevier B.V., All rights reserved.","Agrobiodiversity; Agroecosystem Resilience; Farming System; Land-use Change; Mean Species Abundance; Sepls","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105011967462"
"Y.Y., Adamu Ugya, Yunusa Yunusa; C., Yan, Chunlei; H.A., Ari, Hadiza Abdullahi; H., Chen, Hui; Q., Wang, Qiang","Adamu Ugya, Yunusa Yunusa (57196147048); Yan, Chunlei (59740008200); Ari, Hadiza Abdullahi (57219901944); Chen, Hui (57051708300); Wang, Qiang (57051685900)","57196147048; 59740008200; 57219901944; 57051708300; 57051685900","Salinity stress adaptation enhances metabolic flux towards polyhydroxyalkanoate biosynthesis in microalgae biofilm","2025","Chemical Engineering Journal","519","","165423","","","0","0","10.1016/j.cej.2025.165423","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009456243&doi=10.1016%2Fj.cej.2025.165423&partnerID=40&md5=ba538ad5a17df92b243bd701a39bd374","The need for an alternative to replace petroleum-based plastic has become increasingly urgent due to the negative environmental impact of plastic pollution. Complete dependence on bio-based plastic has been limited by challenges such as scale-up production, cost-effectiveness, and performance compared to traditional plastics. This study provides an insight into a novel stress-responsive approach that enhances the biosynthesis and quality of polyhydroxyalkanoate (PHA) produce by microalgae biofilm. The study reported that salinity stress alters the water chemistry of the microalgae biofilm system, leading to the bioavailability and precipitation of phosphorus to a level of up to 0.306 mg/L, triggering unique microbial communities in the microalgae biofilm. The study reveals that salinity stress tends to uniquely engineer a change in microalgae biofilm's functional markers and properties. These changes stimulate metabolic crosstalk between microalgae, bacteria, and fungi. This crosstalk stimulates a response that boosts the efficiency of photosystem (PS) II, leading to the creation of a self-sustaining system. This self-sufficient system allows microalgae to increase in metabolic flux towards carbon storage,thus, providing organic carbon and oxygen, which are utilized by bacteria for their growth and PHA synthesis. The material characterization reveals an interplay in which fungi enhanced the quality of extracted PHA. The presence of 2-methyl-3-phenylpropanal and 2,6-dihydroxyacetophenone confirms the contribution of fungi, thus signifying an increase in the flexibility, thermal resistance, and mechanical strength of PHA. A detailed understanding of the protein metabolite interaction using different genetic and metabolic engineering tools will ease the use of microalgae biofilms for sustainable PHA production in saline environments. © 2025 Elsevier B.V., All rights reserved.","Biocomposites; Bioplastic; Metagenomic Insight; Proteonomic; Sustainability; Bacteria; Biochemistry; Biomolecules; Biosynthesis; Cost Effectiveness; Crosstalk; Environmental Impact; Fungi; Metabolic Engineering; Metabolism; Metabolites; Microalgae; Organic Carbon; Sustainable Development; Thermal Engineering; Bio-plastics; Biocomposite; Metabolic Flux; Metagenomic Insight; Metagenomics; Micro-algae; Microalga; Polyhydroxyalkanoates; Proteonomic; Salinity Stress; Biofilms","Bacteria; Biochemistry; Biomolecules; Biosynthesis; Cost effectiveness; Crosstalk; Environmental impact; Fungi; Metabolic engineering; Metabolism; Metabolites; Microalgae; Organic carbon; Sustainable development; Thermal Engineering; Bio-plastics; Biocomposite; Metabolic flux; Metagenomic insight; Metagenomics; Micro-algae; Microalga; Polyhydroxyalkanoates; Proteonomic; Salinity stress; Biofilms","Article","Final","","Scopus","2-s2.0-105009456243"
"A., Saha, Akash; L., Philip, Ligy","Saha, Akash (59767793500); Philip, Ligy (7004374926)","59767793500; 7004374926","Energy Self-Sufficient Direct Membrane Filtration of Municipal Wastewater: Impact of Biological Pre-Treatment","2025","Advanced Sustainable Systems","9","8","2500088","","","0","2","10.1002/adsu.202500088","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004215991&doi=10.1002%2Fadsu.202500088&partnerID=40&md5=0f8cd4c53bdeaf77c655a85c6ad98ad6","Municipal wastewater treatment philosophy shall shift from the conventional energy- and chemical-intensive approach to a more circular, energy self-sufficient system aligned with Sustainable Development Goals (SDGs) 7, 9, 11, and 13. Direct membrane filtration (DMF) using ultrafiltration provides a low-energy alternative for recovering organics, which are utilized for energy recovery through anaerobic digestion (AD). However, DMF faces challenges from membrane fouling and elevated dissolved organics in the permeate. To address these issues, this study implements biological contact tank pre-treatment before DMF, with a short hydraulic retention time (HRT) of 60 min. This pre-treatment selectively removes 62% of dissolved organics without compromising the recovery of suspended or colloidal organic matter and enhances permeate quality by 40% in terms of chemical oxygen demand (COD). The DMF system without pre-treatment exhibits 1.84 times higher irreversible pore-blocking membrane resistance, with higher foulant concentrations per membrane unit area (up to 2.54 times) and enzymatic activity (up to 3.04 times). The recovered organics undergo AD, yielding methane up to 336 ± 23 mL-CH<inf>4</inf>/g-VS, making the DMF system net energy positive. Life cycle assessment (LCA) reveals that the DMF system has lesser environmental impacts than the conventional system in 10 out of 18 impact categories. © 2025 Elsevier B.V., All rights reserved.","Biofouling; Contact Tank Pre-treatment; Direct Membrane Filtration (dmf); Municipal Wastewater; Organics Recovery; Chemical Oxygen Demand; Dissolution; Effluents; Energy Conservation; Membrane Fouling; Oxygenation; Recycling; Wastewater Reclamation; Water Conservation; Contact Tank Pre-treatment; Contact Tanks; Direct Membrane Filtration; Energy; Membrane Filtration System; Municipal Wastewaters; Organic Recovery; Organics; Pre-treatments; Biological Membranes","Chemical oxygen demand; Dissolution; Effluents; Energy conservation; Membrane fouling; Oxygenation; Recycling; Wastewater reclamation; Water conservation; Contact tank pre-treatment; Contact tanks; Direct membrane filtration; Energy; Membrane filtration system; Municipal wastewaters; Organic recovery; Organics; Pre-treatments; Biological membranes","Article","Final","","Scopus","2-s2.0-105004215991"
"R.K., Singh, Rohit Kumar; G.N., Tiwari, Gopal Nath; A.S.K., Sinha, Akhoury Sudhir Kumar","Singh, Rohit Kumar (57747227200); Tiwari, Gopal Nath (55450482500); Sinha, Akhoury Sudhir Kumar (57209528589)","57747227200; 55450482500; 57209528589","Thermal modelling of semitransparent photovoltaic thermal and flat plate collector integrated biogas plant for slurry heating: An experimental validation","2025","Renewable Energy","245","","122778","","","0","1","10.1016/j.renene.2025.122778","https://www.scopus.com/inward/record.uri?eid=2-s2.0-86000362370&doi=10.1016%2Fj.renene.2025.122778&partnerID=40&md5=373538f28bdc6021f0c8b0a46a9c32b4","Escalating energy costs, diminishing fossil fuel reserves, increasing energy consumption, and significant environmental impacts are key aspects of the severe global energy crisis. So, a hybrid renewable energy system with improved energy efficiency and advanced energy solutions is required. In this proposed model, a floating dome biogas plant was integrated with solar panels to maximize biogas production and establish a self-sufficient system capable of functioning in severe winter conditions and generating biogas throughout the year. An analytical expression for a biogas-integrated solar module's thermal and electrical energy output has been derived as a function of design parameters and the cold climatic conditions of RGIPT, Amethi, India. Furthermore, numerical computations using MATLAB 2021b were performed to investigate the impact of the number of SPVT-M water collectors, mass flow rate, and packing factors (β) on the performance of the SPVT-M water collectors. The experiment (26 Jan to 6 Feb 2024) showed a daily slurry temperature increase of 1.2–1.4 °C, from 19 °C to 35 °C, with 3.8 kW h/m2 daily solar radiation and 14.8 °C average ambient temperature. Validation of the mathematical model showed strong model correlation (r = 0.98, e = 2.23). Biogas production rose from 3.5 kg to 13.5 kg per day after integrating solar module heating. Validating the experimental results with mathematical modelling ensures the model's utility in optimizing biogas production under specific climatic conditions, which can lead to improved system design and operation. © 2025 Elsevier B.V., All rights reserved.","Flat Plate Collector; Floating Dome Biogas Plant; Modelling; Semitransparent Photovoltaic Thermal; Validation; Collector Efficiency; Energy Efficiency; Biogas Plants; Biogas Production; Flat-plate Collector; Floating Dome Biogas Plant; Modeling; Photovoltaic Thermals; Semi-transparent Photovoltaic; Semitransparent Photovoltaic Thermal; Solar Module; Validation; Energy Utilization; Alternative Energy; Biogas; Energy Efficiency; Experimental Study; Fossil Fuel; Instrumentation; Model Validation; Photovoltaic System; Power Plant; Solar Radiation; Temperature Effect; India","Collector efficiency; Energy efficiency; Biogas plants; Biogas production; Flat-plate collector; Floating dome biogas plant; Modeling; Photovoltaic thermals; Semi-transparent photovoltaic; Semitransparent photovoltaic thermal; Solar module; Validation; Energy utilization; alternative energy; biogas; energy efficiency; experimental study; fossil fuel; instrumentation; model validation; photovoltaic system; power plant; solar radiation; temperature effect; India","Article","Final","","Scopus","2-s2.0-86000362370"
"L., Dong, Liwei; J., Zuo, Jianyong","Dong, Liwei (57215288228); Zuo, Jianyong (36180447300)","57215288228; 36180447300","Vibration-adaptive energy management technology for self-sufficient wireless ECP braking systems on heavy-haul trains","2025","Mechanical Systems and Signal Processing","223","","111940","","","0","7","10.1016/j.ymssp.2024.111940","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203788488&doi=10.1016%2Fj.ymssp.2024.111940&partnerID=40&md5=2887193146a85c22303df510ec2c05a4","To address insufficient power supply for wireless electronically controlled pneumatic (ECP) braking systems on railway freight wagons, a self-sufficient system can be developed by using rotary electromagnetic vibration energy harvesters (VEHs) to harness the secondary suspension vibrations. However, stochastic vibrations result in irregular and time-varying operational states of the system, posing challenges in efficient energy extraction, conversion and storage. In this paper, we propose a highly integrated and efficient energy management technology to simultaneously achieve vibration-adaptive maximum power point tracking (MPPT) and energy management functions. The vibration-adaptive MPPT is formulated through an analysis on the circuit DC side, estimating the optimal power generation state of the system based on the generator velocity. The energy management circuit (EMC) is implemented with a one-stage design based on a four-switch buck/boost (FSBB) topology embedded with a function-integrated control algorithm, simplifying the conventional two-stage structures and reducing unnecessary energy loss. In system integration tests, the EMC successfully achieves instantaneous MPPT under time-varying vibrations, achieving an average power of 1.83 to 14.03 W, along with an energy conversion efficiency of 83.3 to 89.2 %, at wagon speeds of 50 to 70 km/h. Additionally, a coupling model of the freight wagon and self-sufficient wireless ECP braking system is established to conduct an energy budget analysis, revealing that the system generates excess energy during high-speed operations. Thus, a system reliability enhancement strategy (SRES) based on the EMC is proposed to regulate the system damping, reducing the system energy input and mechanical loads, and achieving an RMS force reduction by up to 36 %. This study offers a versatile and reliable energy management approach for electromagnetic vibration energy harvesting, as well as a control interface for electromagnetic VEHs to adapt their mechanical properties to diverse application scenarios. © 2024 Elsevier B.V., All rights reserved.","Energy Management Circuit; Railway Freight Transportation; Vibration Energy Harvesting; Vibration-adaptive Mppt; Wireless Ecp Braking System; Conformal Mapping; Conversion Efficiency; Energy Harvesting; Freight Cars; Freight Transportation; Inductive Power Transmission; Machine Vibrations; Magnetic Levitation Vehicles; Railroad Transportation; Railroads; Solar Power Generation; Stochastic Systems; Suspensions (components); Vibration Analysis; Braking System; Electromagnetic Vibrations; Energy; Energy Management Circuit; Maximum Power Point Tracking; Pneumatic Braking; Railway Freight Transportations; Vibration Energy Harvesting; Vibration-adaptive Maximum Power Point Tracking; Wireless Electronically Controled Pneumatic Braking System; Budget Control","Conformal mapping; Conversion efficiency; Energy harvesting; Freight cars; Freight transportation; Inductive power transmission; Machine vibrations; Magnetic levitation vehicles; Railroad transportation; Railroads; Solar power generation; Stochastic systems; Suspensions (components); Vibration analysis; Braking system; Electromagnetic vibrations; Energy; Energy management circuit; Maximum Power Point Tracking; Pneumatic braking; Railway freight transportations; Vibration energy harvesting; Vibration-adaptive maximum power point tracking; Wireless electronically controled pneumatic braking system; Budget control","Article","Final","","Scopus","2-s2.0-85203788488"
"H., Singh, Harwinder; H., Singh, Harminder; K., Singh, Kuldeep; S., Singh, Sukhmandeep; K., Singh, Khushmeet; J., Kaur, Jaspreet; A.K., Singh, Amandeep K.","Singh, Harwinder (60000079700); Singh, Harminder (57199030632); Singh, Kuldeep (57216243325); Singh, Sukhmandeep (59386472300); Singh, Khushmeet (59386347900); Kaur, Jaspreet (57203216159); Singh, Amandeep K. (58688349700)","60000079700; 57199030632; 57216243325; 59386472300; 59386347900; 57203216159; 58688349700","Machine learning enabled smart human activity monitoring using corn husk based eco-friendly triboelectric nanogenerator","2025","International Journal of Green Energy","22","8","","1602","1617","0","2","10.1080/15435075.2024.2437511","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85211192775&doi=10.1080%2F15435075.2024.2437511&partnerID=40&md5=6942c572f7a9ff7ef301f312c546cc7b","The keys to success in health status clinical investigations, fitness services, and several other related fields are accurate identification of human actions. In this study, the machine learning is integrated with corn husk based biodegradable and environment friendly triboelectric nanogenerator (TENG). This self-powered sensor designed and fabricated in this present study is used for smart human activity monitoring. We devote our focus on using biodegradable materials to make environmentally friendly devices as a green energy source. The corn husk used in this study is a natural agriculture waste by-product. This corn husk based sensor is capable of generating 140 volts and charging various commercial capacitors. This eco-friendly sensing device is also tested as a wearable sensor to gather data and track the user’s physical activity, such as jumping, running, and walking. For accurate prediction of human activity, the designed corn husk based sensor is coupled with an extra randomized tree and random forest-based machine learning model. These models achieve a 98.89% and 98.33% accuracy rate in identifying the user’s three activities. The research presents a novel strategy to support tailored applications of TENG sensors in human motion tracking and enables the development of intelligent, self-sufficient systems for novel uses. © 2025 Elsevier B.V., All rights reserved.","Artificial Intelligence; Biodegradable; Corn Husk; Energy Harvesting; Human Activity Monitoring; Machine Learning; Triboelectric Nanogenerator (teng); Nanoclay; Biodegradable; Clinical Investigation; Corn Husks; Eco-friendly; Energy; Health Status; Human Activity Monitoring; Machine-learning; Nanogenerators; Triboelectric Nanogenerator; Smart Agriculture; Biodegradation; Electronic Equipment; Human Activity; Machine Learning; Monitoring; Power Generation","Nanoclay; Biodegradable; Clinical investigation; Corn husks; Eco-friendly; Energy; Health status; Human Activity Monitoring; Machine-learning; Nanogenerators; Triboelectric nanogenerator; Smart agriculture; biodegradation; electronic equipment; human activity; machine learning; monitoring; power generation","Article","Final","","Scopus","2-s2.0-85211192775"
"M.I., Kaplin, Mykola I.; V., Makarov, Vitaliy; Y., Shcherbyna, Yevhen; T., Bilan, Tetiana; M., Perov, Mykola; A.O., Zaporozhets, Artur O.","Kaplin, Mykola I. (57210208043); Makarov, Vitaliy (57222556498); Shcherbyna, Yevhen (58480022400); Bilan, Tetiana (57216341118); Perov, Mykola (57222550068); Zaporozhets, Artur O. (57192642007)","57210208043; 57222556498; 58480022400; 57216341118; 57222550068; 57192642007","Modeling of Energy Supply Systems Based on the Concept of Self-Sufficiency of Local Energy System","2025","Studies in Systems, Decision and Control","596","","","119","137","0","0","10.1007/978-3-031-90462-2_6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009461368&doi=10.1007%2F978-3-031-90462-2_6&partnerID=40&md5=441df70f5009865d572693fedfb680c9","The global trend of gradual decentralization of energy supply and rapid development of distributed generation is becoming particular relevant for the energy system of Ukraine, which is in a critical state due to the deliberate destruction of energy facilities as a result of military operations. Stable and reliable energy supply at the regional level in order to increase the energy resilience of territorial communities in the face of military threats requires the integration of all available energy sources, renewable and traditional, energy production, storage and supply facilities into the local energy system to provide electricity and heat to a particular region, city or village. The article reviews the recent research on local hybrid systems based on renewable energy sources, including battery energy storage systems. An overview of modern models of energy systems is given, taking into account the rapid development of the concept of distributed multi-generation. To solve the problem of energy supply at the regional level, an approach to modeling energy provisioning based on self-sufficient local energy systems is proposed, an economic-mathematical model of production type is developed to predict the structure and volumes of energy supply, taking into account alternative ways of using renewable energy sources. The model uses the specific structure of technological methods of L.V. Kantorovich and the list of indicators of the product energy balance of the International Energy Agency. A representation of the structure of product and technological links of the energy supply system in the form of a network model has been developed, which allowed to create a single representation of electricity and heat production facilities, mining and enrichment enterprises, and energy consumers. The proposed modeling approach based on the concept of self-sufficiency of local energy systems can be used to determine the most sustainable structure and optimal topology of subsystems based on the predominant use of local energy resources and distributed low-capacity generation to improve the reliability of energy supply in the country as a whole. © 2025 Elsevier B.V., All rights reserved.","Distributed Generation; Energy Self-sufficient System; Energy Supply; Model Of Production Type","","Book chapter","Final","","Scopus","2-s2.0-105009461368"
