"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"X., Tang, Xitian; W., Gu, Wenzhen; Y., Hu, Yao; M., Yan, Minghui","Tang, Xitian (59772679300); Gu, Wenzhen (57201029098); Hu, Yao (59772256300); Yan, Minghui (59772893300)","59772679300; 57201029098; 59772256300; 59772893300","Evaluating the efficacy of the new electronic dental assistant training program","2025","Scientific Reports","15","1","15639","","","0","0","10.1038/s41598-025-99856-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004313908&doi=10.1038%2Fs41598-025-99856-2&partnerID=40&md5=984d3208e9613f511cff49f5c7b8fc2c","With the rapid development of global medical informatization, information systems have become a critical part of the nursing profession The training of dental assistants lacks specialized information management tools, resulting in increasing difficulty in time-consuming training management. To evaluate a new electronic dental assistants self-design training program and examine its effects on informatization management. A self-design training management system was developed. The core module of the system, the clinical training management module, consisted of six different parts: resource management, course management, examination assessment, student management, teacher management, and evaluation management. 137 dental assistants were enrolled to complete the training and assessed through the system. With the introduction of the new system, the coverage of the required courses arranged by the nursing department increased from 80.29 to 100% (P < 0.01). The average time for the training supervisors to complete the evaluation of dental assistants’ monthly examination significantly decreased from (94.80 ± 28.95) to (8.30 ± 3.30) minutes (P < 0.05). The pass rate of the N2-level promotion test increased from 68.18 to 100% (P < 0.01). The four-hand operation response time of outpatient dental assistants was significantly decreased from (5.42 ± 0.83) to (3.37 ± 0.76) seconds (P < 0.05); The satisfaction score of 94.2% of doctors on dental assistants passed 44 points, 95.6% of dental assistants and 100% training supervisors rated the training management system on satisfaction score of more than 36 points. This training management system significantly enhances the training experience for dental assistants, not only by boosting participation rates but also by streamlining training management time and elevating the overall quality of training along with staff satisfaction. This study highlights the potential for electronic management systems to enhance the quality and efficiency of dental assistant training globally. © 2025 Elsevier B.V., All rights reserved.","Dental Assistant; Dental Assistant Training; Information System; Quality Control; Aged; Article; Controlled Study; Dental Assistant; Diagnosis; Hand Surgery; Human; Information System; Nursing As A Profession; Participation; Physician; Quality Control; Reaction Time; Satisfaction; Teacher; Training; Adult; Education; Female; Male; Adult; Dental Assistants; Female; Humans; Male","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105004313908"
"Y.S., Bouteraa, Yassine Saleh; M., Khishe, Mohammad","Bouteraa, Yassine Saleh (57202361442); Khishe, Mohammad (57192100593)","57202361442; 57192100593","Fractal and chaotic map-enhanced grey wolf optimization for robust fire detection in deep convolutional neural networks","2025","Scientific Reports","15","1","11495","","","0","1","10.1038/s41598-025-95519-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105002865751&doi=10.1038%2Fs41598-025-95519-4&partnerID=40&md5=9769e7a0297fcd55b210953d027cd369","This paper introduces a novel approach to enhancing the architecture of deep convolutional neural networks, addressing issues of self-design. The proposed strategy leverages the grey wolf optimizer and the multi-scale fractal chaotic map search scheme as fundamental components to enhance exploration and exploitation, thereby improving the classification task. Several experiments validate the method, demonstrating an impressive 87.37% accuracy across 95 random trials, outperforming 23 state-of-the-art classifiers in the study’s nine datasets. This work underscores the potential of chaotic/fractal and bio-inspired paradigms in advancing neural architecture. © 2025 Elsevier B.V., All rights reserved.","Chaotic Maps; Fractals; Gray Wolf Optimizer; Image Classification; Internet Protocol; Article; Canis Lupus; Classification; Classifier; Convolutional Neural Network; Diagnosis; Fire; Fractal Analysis; Human; Human Experiment; Internet Protocol","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105002865751"
"M., Wang, Mengjie; X., Yang, Xiaohua; X., Zhao, Xu; R., Chen, Rui; C., Yan, Changgen","Wang, Mengjie (59149830200); Yang, Xiaohua (55683824400); Zhao, Xu (60005172900); Chen, Rui (57220997885); Yan, Changgen (8542208200)","59149830200; 55683824400; 60005172900; 57220997885; 8542208200","Engineering characteristics of soft soil foundations improved by fine-sand-filled geocell cushions","2025","KSCE Journal of Civil Engineering","29","10","100226","","","0","0","10.1016/j.kscej.2025.100226","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011088452&doi=10.1016%2Fj.kscej.2025.100226&partnerID=40&md5=6c60dc8d34eecde3e7c25f9d53a833cf","In the Dhaka Ring Road Project in Bangladesh, geocell filled with fine sand was used as cushions to treat the soft foundation to improve its bearing capacity. Large-scale direct shear, tension, and compression tests were conducted using a self-design testing device to analyse the working characteristics of the fine-sand-filled geocell cushion layer. The FLAC 3D software was used to study the stress and deformation characteristics of a soft soil foundation reinforced by the fine-sand-filled geocell with different embankment heights, numbers of cushion layers, and foundation deformation moduli. The results revealed that the geocell can improve the shear strength of fine sand, particularly in the cohesive force, with increases in the range of 8–21 kPa. Under the reinforcement effect, the fine-sand-filled geocell layers exhibited desirable tensile and compression properties. Installing two fine-sand-filled geocell layers is generally advantageous. Additionally, foundation deformation is highly sensitive to embankment height and foundation strength. The height of an embankment constructed on a soft foundation with a foundation modulus lower than 2.5 MPa should not exceed 6 m. The results of this study may provide a theoretical basis for the application of fine-sand-filled geocell cushion layer in practical engineering. © 2025 Elsevier B.V., All rights reserved.","Fine Sand; Geocell; Model Testing; Numerical Simulation; Soft Soil Foundation; Computer Software; Embankments; Foundations; Sand; Shear Flow; Shear Strength; Soil Testing; Soils; Cushion Layers; Embankment Height; Engineering Characteristics; Fine Sand; Foundation Deformation; Geocells; Model Testing; Ring Roads; Soft Foundation; Soft Soil Foundation; Compression Testing; Reinforcement","Article","Final","","Scopus","2-s2.0-105011088452"
"X., Wu, Xiangxiang; Y., Zha, Yong","Wu, Xiangxiang (57222322999); Zha, Yong (35363070100)","57222322999; 35363070100","Encroachment of complementary suppliers in the technology product market","2025","Expert Systems with Applications","290","","128501","","","0","0","10.1016/j.eswa.2025.128501","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007522076&doi=10.1016%2Fj.eswa.2025.128501&partnerID=40&md5=ccd73d088c9f21abc59a6155685a6789","This study aims to delve deeply into the supply chain relationship between hardware manufacturers and software platform owners in the technology product market, particularly how both parties attempt to encroach upon each other's core business areas while maintaining cooperation. To be specific, we examine the sequential encroachment decisions between a manufacturer and a platform owner, where both parties may choose between cooperative encroachment and self-design encroachment to enter the end-product market. In constructing a game-theoretic model, we consider a scenario where the manufacturer initially makes the encroachment decision, followed by the platform owner's encroachment decision, and finally, both parties set their products’ component and retail prices under two cases of differing user preferences. In the case where users have a higher preference for the manufacturer's product than that of the platform, our analysis interestingly shows that, given the manufacturer's cooperative encroachment, the platform always tends to choose self-design encroachment. In the case of the platform having a higher user preference, the manufacturer has a similar inclination when anticipating the platform chooses cooperative encroachment. In the platform's optimal choice, both parties may be more beneficial under self-design or cooperative encroachment when the platform has a higher user preference, but can be more favorable only under self-design encroachment when the manufacturer has a higher user preference. Furthermore, we find that symmetric cooperative encroachment is never an equilibrium configuration, while the other encroachment configurations may appear in equilibrium, depending on the size of the software design cost and the user preference differences. Our study provides important insights regarding encroachment for complementary participants in the technology product market. © 2025 Elsevier B.V., All rights reserved.","Coopetition; Game Theory; Supplier Encroachment; Supply Chain Management; Technology Products; Integrated Circuit Layout; Sales; Chain Management; Co-opetition; Hardware Manufacturers; Hardware/software; Product Markets; Self-design; Supplier Encroachment; Supply Chain Relationships; Technology Products; User's Preferences; Intellectual Property Core","Article","Final","","Scopus","2-s2.0-105007522076"
"N., Menzi-Çetin, Nihal","Menzi-Çetin, Nihal (56910228900)","56910228900","A Comparison of the Programming-Oriented Computational Thinking Skills of Engineering and Nonengineering Students at Turkish Universities","2025","Computer Applications in Engineering Education","33","5","e70069","","","0","0","10.1002/cae.70069","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012371932&doi=10.1002%2Fcae.70069&partnerID=40&md5=c6f8eda861c908d20a103193ec6e8eb5","This study examines the programming-oriented computational thinking (PoCT) skills of engineering and nonengineering faculty students, comparing them in terms of grade level and the three subdimensions of PoCT: Conceptual knowledge, algorithmic thinking, and evaluation. Additionally, the study investigates the extent to which students' PoCT skill levels can be predicted by programming language self-efficacy and design thinking skill through hierarchical regression analysis. The data of 571 computer science students from two types of faculties in Turkish universities were analysed. The findings revealed that engineering students had superior computational thinking skills to their nonengineering counterparts, as well as a slightly higher predictive power of programming self-efficacy and design thinking on computational thinking. These results offer valuable insights and strategies for developing instructional practices that address the disadvantages faced by nonengineering disciplines. © 2025 Elsevier B.V., All rights reserved.","Computational Thinking; Design Thinking; Engineering Education; Programming Language Self-efficacy; Education Computing; Regression Analysis; Students; Teaching; Algorithmic Thinking; Computational Thinkings; Conceptual Knowledge; Design Thinking; Language Self-efficacy; Non-engineering Students; Programming Language Self-efficacy; Self-design; Thinking Skills; Turkishs; Engineering Education","Article","Final","","Scopus","2-s2.0-105012371932"
"B.R., Johnstone, B. R.; D., Cohen, Daniel; R.K., Anderson, Raeda K.; A.C., Dennison, Andrew Cullen; L., Bosque, Laura","Johnstone, B. R. (7101757067); Cohen, Daniel (57204042627); Anderson, Raeda K. (57220932652); Dennison, Andrew Cullen (35483521500); Bosque, Laura (58591358900)","7101757067; 57204042627; 57220932652; 35483521500; 58591358900","Reconceptualizing Disorders of the Self as Disorders of Relationship","2025","Archives of Physical Medicine and Rehabilitation","106","8","","1198","1206","0","0","10.1016/j.apmr.2024.12.019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85215954675&doi=10.1016%2Fj.apmr.2024.12.019&partnerID=40&md5=2b8ad7ccffdabe8cedd1fdd314796fe0","Objective: To validate a universal neuropsychological model that suggests that disorders of the self are best conceptualized as disintegrated neuropsychological processes (ie, sensations, mental experiences) that lack a sense of relationship to the unified experience/sense of self. Design: Cross-sectional observational study. Setting: Rehabilitation hospital outpatient clinics. Participants: A total of 73 individuals including 33 with acquired brain injury and 40 with multiple sclerosis. Intervention: Not applicable. Main Outcome Measures: On the basis of the Cambridge Depersonalization Scale, a measure of general disintegration of sensations and mental experiences, a team of rehabilitation clinicians and researchers proposed 6 clinically derived indices of specific disintegrated neuropsychological inputs (ie, sensations), outputs (ie, mental experiences), and experiences of disintegration (ie, space, time, context). Results: As hypothesized (1) a confirmatory factor analysis supported the proposed factors including disintegrated bodily sensations (root mean square error of approximation [RMSEA]=0.193, P=.009; comparative fit index [CFI]=0.909; Tucker-Lewis index [TLI]=0.819), disintegrated context (RMSEA=0.143, P=.129; CFI=0.970; TLI=0.911), disintegrated emotions (RMSEA=0.090, P=.266; CFI=0.967; TLI=0.902), disintegrated cognition (RMSEA=0.091, P=.210; CFI=0.963; TLI=0.939), disintegrated smell/taste, and disintegrated spatial perception (measures of model fit for these last 2 factors could not be determined given they included only 2 items); and (2) Pearson correlations indicated that all 7 Cambridge Depersonalization Scale indices were negatively correlated with a measure associated with right hemisphere functioning, with 5 achieving/approaching statistical significance. Conclusion: The results suggest that (1) neuropsychological abilities should be conceptualized in terms of relatively singular neuropsychological domains (ie, affect, behavior, cognition, sensation) and the experience of relationship that is created when they are integrated, and (2) disorders of the self are best conceptualized as disorders of disintegration that are associated with decreased relationship between specific neuropsychological processes and the unified experience/sense of self. © 2025 Elsevier B.V., All rights reserved.","Disorders Of The Self; Integration; Rehabilitation; Relationship; Acquired Brain Injury; Adult; Alexithymia; Alien Limb Phenomenon; Anosognosia; Anton's Syndrome; Article; Asomatognosia; Bipolar Disorder; Borderline State; Capgras Syndrome; Cognition; Cotard Delusion; Cross-sectional Study; Delusional Misidentification; Depersonalization; Depth Perception; Disease Classification; Dissociative Fugue; Emotion; Environmental Disease; Female; Fregoli Syndrome; Human; Major Clinical Study; Male; Middle Aged; Multiple Personality; Multiple Sclerosis; Neurologic Disease; Neuropsychological Assessment; Observational Study; Odor; Phonagnosia; Schizophrenia; Schizotypal Personality Disorder; Sense Of Self; Taste; Aged; Brain Injury; Factor Analysis; Psychology; Rehabilitation; Self Concept; Adult; Aged; Brain Injuries; Cross-sectional Studies; Depersonalization; Factor Analysis, Statistical; Female; Humans; Male; Middle Aged; Multiple Sclerosis; Neuropsychological Tests; Self Concept","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85215954675"
"L., Li, Lulu; Z., Zhang, Zhen; Z., Zhong, Ziyuan; Y., Xu, Youyi; Z., Li, Zhipeng; W., Tian, Wenhuai","Li, Lulu (57218274398); Zhang, Zhen (58392300800); Zhong, Ziyuan (57837019600); Xu, Youyi (60007108600); Li, Zhipeng (57206873452); Tian, Wenhuai (56611215700)","57218274398; 58392300800; 57837019600; 60007108600; 57206873452; 56611215700","The volatilization of organic matter in the sintering process of gold alloy paste","2025","Journal of Thermal Analysis and Calorimetry","150","16","","12293","12304","0","0","10.1007/s10973-025-14462-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011150403&doi=10.1007%2Fs10973-025-14462-8&partnerID=40&md5=a4b894d68ae6585d9a494a735ce70ba8","Fluorescent screen has garnered significant attention due to its excellent electro-optical conversion property, but there are few studies on solving the phenomenon of optical feedback and inter-electrode discharge caused by external stray light. In this paper, new self-design gold alloy paste carried out gold alloy film preparation experiment on fluorescent screen, and a comprehensive testing system is used to analyze the sintered products of gold alloy paste, the composition and properties of film. The results of TG-MS and TG-FTIR reveal that the main gaseous products escape from gold alloy paste include H<inf>2</inf>O, C<inf>10</inf>H<inf>18</inf>O, C<inf>4</inf>H<inf>8</inf>O<inf>2</inf>, NO<inf>2</inf> and CO<inf>2</inf> during sintering at 25–450 ℃. SEM equipped with EDS confirms that Au, Ag, Bi and Cr elements are uniformly distributed on film. The composition of 13% film is quantitatively analyzed by ICP-OES, which contains 12.19% Au, 0.35% Ag, 0.05% Bi, 0.01% Cr and 0.39% sulfonate. In addition, the transmittance of film is 0.1– 0.6%. The average resistivity is 2.81 × 10–6 Ω cm. The average adhesion is 6.86 MPa. Overall, gold alloy film with high purity and low residue has excellent light shielding, conductivity and adhesion, which can effectively prevent the entry of external stray light. © 2025 Elsevier B.V., All rights reserved.","Fluorescent Screen; Gold Alloy Film; Gold Alloy Paste; Low Residue; Optical Feedback; Adhesion; Biological Materials; Corrosion; Film Preparation; Gold Alloys; Optical Films; Optical Properties; Thallium Alloys; Alloy Film; Electro-optical; Gold Alloy Film; Gold Alloy Paste; Low Residue; Optical-; Organics; Property; Sintering Process; Volatilisation; Fluorescent Screens","Article","Final","","Scopus","2-s2.0-105011150403"
"C., He, Changsheng; W., Zhu, Wei; X., Zhang, Xin; W., Wu, Wei; J., Tan, Jiexing; B., Li, Bosheng; D., Huang, Dongchao; Y., Chen, Yinghua; Z., Xiang, Zhiguang; L., Huang, Lizhen","He, Changsheng (57203661598); Zhu, Wei (57195982746); Zhang, Xin (59982634100); Wu, Wei (59982357700); Tan, Jiexing (57218894975); Li, Bosheng (57212398786); Huang, Dongchao (57325614400); Chen, Yinghua (57216666371); Xiang, Zhiguang (21733908100); Huang, Lizhen (56477641100)","57203661598; 57195982746; 59982634100; 59982357700; 57218894975; 57212398786; 57325614400; 57216666371; 21733908100; 56477641100","Sensitive and Visualized Detection of Hantavirus Using CRISPR/Cas12a Based on AutoCORDSv2 Design","2025","Journal of Medical Virology","97","7","e70460","","","0","1","10.1002/jmv.70460","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010118505&doi=10.1002%2Fjmv.70460&partnerID=40&md5=5d3dd0e6fe9df8c284dd60a2c0fd226a","In recent years, detection technologies based on the CRISPR/Cas12a method have been extensively utilized in the fields of nucleic acid, enzyme, and macromolecule detection, thereby reinforcing their significant role in the detection landscape. Enhancing the simplicity of design, efficiency, and automation of the CRISPR/Cas12a detection system is essential for advancing its application in diagnostics. Recently, we developed an automated CRISPR/Cas12a design system named AutoCORDSv2. This system can process published genomic sequences of pathogenic bacteria in a high-throughput manner and automatically generate conserved and highly specific crRNA sequences, along with primer sequences for target amplification. This capability facilitates the specific and precise design of the CRISPR/Cas12a detection system. In this study, crRNAs targeting the Hantaan virus (HTNV) and Seoul virus (SEOV), as well as RT-PCR primers and RT-RPA primers, were designed using AutoCORDSv2. The experimental results demonstrated that the CRISPR/Cas12a system, automatically designed by AutoCORDSv2, was specific for the detection of both the HTNV and SEOV, with no cross-reactivity observed with other pathogens. The detection sensitivity reached 6 copies/μL (equivalent to 111 copies per amplification reaction), whether measured by a microplate reader or directly observed with the naked eye. The detection results for 50 samples were consistent with those obtained from commercial RT-qPCR kits, indicating high precision. Furthermore, the CRISPR/Cas12a system designed by AutoCORDSv2 can also be utilized for the development of a single-tube detection system with a sensitivity of 42 copies per reaction. This system combined with a 5-min extraction step and RT-RPA, further underscoring its potential for application. © 2025 Elsevier B.V., All rights reserved.","Auto-design; Autocordsv2; Crispr/cas12a Detection; Hantavirus; Dna Primers; Rna, Viral; Enzyme; Nucleic Acid; Primer Dna; Virus Rna; Article; Controlled Study; Crispr Cas System; Crispr Cas12a; Fluorescence Intensity; Gene Sequence; Hantavirus; Landscape; Microorganism; Nonhuman; Real Time Polymerase Chain Reaction; Reverse Transcription Recombinase Polymerase Amplification; Severe Fever With Thrombocytopenia Syndrome Virus; Zika Virus; Diagnosis; Genetics; Hantaan Virus; Hantavirus Infection; Human; Isolation And Purification; Molecular Diagnosis; Procedures; Sensitivity And Specificity; Virology; Crispr-cas Systems; Dna Primers; Hantavirus Infections; Humans; Molecular Diagnostic Techniques; Orthohantavirus; Rna, Viral; Sensitivity And Specificity","Article","Final","","Scopus","2-s2.0-105010118505"
"J., Lan, Jingbin; L., Lan, Lan; N., Wang, Ning; J., Zou, Jinhai; T., Chen, Tingting; K., Jiang, Kui; R., Xia, Ran; Y., Bu, Yikun; Z., Luo, Zhengqian","Lan, Jingbin (59417802900); Lan, Lan (58548767400); Wang, Ning (58921980100); Zou, Jinhai (57202496729); Chen, Tingting (59729825700); Jiang, Kui (59914411500); Xia, Ran (57210752665); Bu, Yikun (8503210000); Luo, Zhengqian (14321958800)","59417802900; 58548767400; 58921980100; 57202496729; 59729825700; 59914411500; 57210752665; 8503210000; 14321958800","Toward 10 W-level all-fiber multi-color visible lasers","2025","Optics Express","33","11","","23702","23713","0","0","10.1364/OE.561720","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105006729101&doi=10.1364%2FOE.561720&partnerID=40&md5=7af712e4da3eab1b4670bb1eb731b807","So far, high-power visible laser generation has traditionally relied on nonlinear frequency conversion of near-infrared lasers, precluding efficient, compact, and affordable laser systems. An ideal solution is a rare-earth-doped fiber laser for directly generating visible light, but the output power is limited to the watt level, and the all-fiber structure is rarely reported. Here, we address this challenge by demonstrating high-power all-fiber visible lasers, directly generating either 10 W-level output power at 635 nm (red)/717 nm (deep-red) and 5 W-level output power at 521 nm (green), respectively. This work involves theoretical optimization and experimental validation using 443 nm LD-pumped Pr3+-doped double-clad fiber. Greatly thanks to the self-design and homemade visible fiber dichroic mirrors with high damage threshold of >22.6 MW/cm2, we successfully achieved the maximum laser output powers of 10.34 W at 635.6 nm, 10.28 W at 717.2 nm, and 4.87 W at 521.4 nm, respectively, with the slope efficiency of 26.5%, 24.4%, and 21.4%. Moreover, the all-fiber visible lasers show excellent stability with power fluctuation of 0.93%, 0.33%, and 2.8%. To our knowledge, this is the highest visible CW output power directly generated in a compact all-fiber laser and represents an important step towards the 10 W level. © 2025 Elsevier B.V., All rights reserved.","Electron Beam Pumping; Laser Mirrors; Optical Pumping; Rare Earth-doped Fibers; All Fiber; High Power; Ideal Solutions; Laser Generation; Laser Systems; Multi-colors; Near-infrared Lasers; Nonlinear Frequency Conversion; Output Power; Visible Lasers; Optical Frequency Conversion; Lanthanide; Article; Color; Controlled Study; Fiber; Human; Laser","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105006729101"
"R., Breckner, Roswitha; M.R., Müller, Michael R.; A., Sonnenmoser, Anne","Breckner, Roswitha (54683437600); Müller, Michael R. (57205413455); Sonnenmoser, Anne (59928515200)","54683437600; 57205413455; 59928515200","Changing Visual and Social Worlds: An Introduction to the Thematic Issue on ""Digital Images and Visual Artifacts in Everyday Life""; Wandelbare Bild-und Sozialwelten: Einführung in den Themenschwerpunkt ""Digitale Bilder und visuelle Artefakte in Alltagswelten""","2025","Forum Qualitative Sozialforschung","26","2","28","","","0","0","10.17169/fqs-26.2.4442","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007248924&doi=10.17169%2Ffqs-26.2.4442&partnerID=40&md5=4e9e8deb7ad2a8a69ae47a33180e28d7","The continual advancement of visual media technologies and their everyday accessibility has led to a wide array of possibilities for presenting oneself, others and the world, for imagining the improbable, the production of evidence, ideographic expression, as well as of self-deception and deception of others. That images are socially exchanged, in that they give rise to, reinforce, or destabilize social relationships, and that they are subject to processes of conventionalization, instrumentalization, and economization, is hardly surprising. Nevertheless, images and the diversity of visual artifacts remain a complex and only partially theorized subject within social theory and are still insufficiently integrated into existing theoretical frameworks. The authors of this special issue address this desideratum. Their contributions provide insights into the particularities of contemporary image and social worlds, which they explore through appropriate methodological approaches. Furthermore, they shed light on the social-theoretical and methodological research questions that emerge from a deeper engagement with such visual and social constellations. © 2025 Elsevier B.V., All rights reserved.","Body Images; Communicative Trust-building; Digital Images In Social Worlds; Discursive Subjectivation; Generation Of Evidence And Knowledge; Methodological Innovation; Personal Testing And Proving; Political And Normative Negotiation Processes; Social Media; Social Positioning; Visual Artifacts; Visual-biographical Self-design","Article","Final","","Scopus","2-s2.0-105007248924"
